f	2L_ET
1.0	0.9755630062487131
2.0	0.9743939096745668
3.0	0.9724474522927725
4.0	0.9697266845154463
5.0	0.966235868829021
6.0	0.9619804712181511
7.0	0.9569671504310019
8.0	0.9512037449210567
9.0	0.9446992574795698
10.0	0.9374638375944362
11.0	0.929508761575995
12.0	0.9208464104934659
13.0	0.9114902459703415
14.0	0.9014547838922078
15.0	0.8907555660847579
16.0	0.8794091300248118
17.0	0.8674329766504009
18.0	0.8548455363410493
19.0	0.8416661331429083
20.0	0.8279149473170537
21.0	0.813612976293279
22.0	0.7987819941146068
23.0	0.7834445094613591
24.0	0.7676237223463407
25.0	0.7513434795755671
26.0	0.7346282290715324
27.0	0.7175029731582413
28.0	0.6999932209094079
29.0	0.6821249396629909
30.0	0.6639245058069045
31.0	0.6454186549420452
32.0	0.626634431529926
33.0	0.6075991381330363
34.0	0.588340284356675
35.0	0.568885535601351
36.0	0.5492626617349359
37.0	0.5294994857936134
38.0	0.5096238328202612
39.0	0.4896634789482424
40.0	0.46964610083767455
41.0	0.4495992255701206
42.0	0.4295501811062101
43.0	0.4095260474091124
44.0	0.3895536083348927
45.0	0.36965930438869404
46.0	0.34986918644338527
47.0	0.33020887051475567
48.0	0.31070349368462596
49.0	0.29137767126027214
50.0	0.27225545525543093
51.0	0.2533602942748285
52.0	0.2347149948806521
53.0	0.2163416845157306
54.0	0.19826177605432702
55.0	0.18049593404747946
56.0	0.1630640427256888
57.0	0.14598517581749218
58.0	0.12927756823809208
59.0	0.11295858969771846
60.0	0.09704472027481818
61.0	0.0815515279945093
62.0	0.06649364844797738
63.0	0.051884766483704034
64.0	0.03773759999655273
65.0	0.02406388583584303
66.0	0.010874367848633819
67.0	-0.001821212930509391
68.0	-0.01401412593692088
69.0	-0.02569665657899731
70.0	-0.03686210959061127
71.0	-0.047504810241138916
72.0	-0.05762010341629717
73.0	-0.06720435058775459
74.0	-0.07625492469419107
75.0	-0.08477020296109541
76.0	-0.09274955769114293
77.0	-0.100193345061417
78.0	-0.10710289196806959
79.0	-0.11348048096322289
80.0	-0.11932933333298526
81.0	-0.12465359036939228
82.0	-0.12945829289287059
83.0	-0.1337493590854505
84.0	-0.13753356069841977
85.0	-0.14081849770140625
86.0	-0.143612571442984
87.0	-0.14592495639582903
88.0	-0.1477655705621832
89.0	-0.14914504461792027
90.0	-0.15007468987584055
91.0	-0.15056646515094624
92.0	-0.1506329426123607
93.0	-0.15028727270825318
94.0	-0.14954314825160747
95.0	-0.14841476775593374
96.0	-0.1469167981110547
97.0	-0.1450643366899107
98.0	-0.14287287297791468
99.0	-0.14035824981674982
100.0	-0.13753662435464106
101.0	-0.13442442879504618
102.0	-0.13103833103540527
103.0	-0.12739519528706192
104.0	-0.12351204276672637
105.0	-0.11940601254889302
106.0	-0.11509432266746074
107.0	-0.11059423155342965
108.0	-0.10592299989397927
109.0	-0.10109785299645999
110.0	-0.09613594373887585
111.0	-0.09105431618629095
112.0	-0.08586986995027575
113.0	-0.08059932536601747
114.0	-0.07525918955906973
115.0	-0.06986572347090467
116.0	-0.06443490990948073
117.0	-0.05898242268794401
118.0	-0.053523596911358516
119.0	-0.048073400468018036
120.0	-0.04264640677843512
121.0	-0.03725676885154737
122.0	-0.03191819469402995
123.0	-0.02664392411486926
124.0	-0.021446706963554822
125.0	-0.0163387828363657
126.0	-0.01133186228132408
127.0	-0.006437109528412355
128.0	-0.001665126767666801
129.0	0.0029740600062571378
130.0	0.007471013568480723
131.0	0.01181689644671341
132.0	0.01600348030595282
133.0	0.02002315373254503
134.0	0.023868928419039457
135.0	0.027534443755204002
136.0	0.03101396983444277
137.0	0.03430240888867693
138.0	0.03739529516850312
139.0	0.040288793289114846
140.0	0.042979695066063674
141.0	0.04546541486842741
142.0	0.04774398352034783
143.0	0.04981404078517662
144.0	0.05167482646963533
145.0	0.05332617018843011
146.0	0.05476847983266894
147.0	0.05600272878819595
148.0	0.05703044195258155
149.0	0.05785368060198041
150.0	0.05847502616138646
151.0	0.05889756293397516
152.0	0.05912485984721699
153.0	0.05916095127527354
154.0	0.05901031699884514
155.0	0.058677861365120355
156.0	0.05816889171178642
157.0	0.05748909612018573
158.0	0.05664452056365682
159.0	0.05564154551786317
160.0	0.0544868621005061
161.0	0.053187447808223216
162.0	0.05175054191870303
163.0	0.050183620626096596
164.0	0.04849437197767571
165.0	0.04669067067938775
166.0	0.04478055283747487
167.0	0.0427721907026827
168.0	0.040673867482764706
169.0	0.03849395228801506
170.0	0.03624087527342094
171.0	0.03392310303973547
172.0	0.0315491143543314
173.0	0.029127376251105026
174.0	0.02666632056697655
175.0	0.024174320970674127
176.0	0.021659670537498125
177.0	0.019130559921658206
178.0	0.01659505617555493
179.0	0.014061082263044773
180.0	0.01153639731130435
181.0	0.009028577643387506
182.0	0.006544998630962202
183.0	0.004092817404034936
184.0	0.0016789564517178009
185.0	-0.0006899118547160667
186.0	-0.00300737978811233
187.0	-0.005267317815576246
188.0	-0.007463887149951897
189.0	-0.009591551283087207
190.0	-0.011645086484325176
191.0	-0.013619591250667598
192.0	-0.015510494698064488
193.0	-0.01731356388628514
194.0	-0.019024910072816023
195.0	-0.020640993894199877
196.0	-0.022158629476170102
197.0	-0.023574987476836624
198.0	-0.02488759707003958
199.0	-0.02609434687879404
200.0	-0.027193484871497274
201.0	-0.02818361723625432
202.0	-0.029063706251288
203.0	-0.029833067171931515
204.0	-0.030491364157150504
205.0	-0.031038605260896676
206.0	-0.031475136515856976
207.0	-0.03180163513932117
208.0	-0.0320191018929427
209.0	-0.03212885263011065
210.0	-0.03213250906647607
211.0	-0.03203198881088448
212.0	-0.03182949469555023
213.0	-0.03152750344576851
214.0	-0.03112875373079084
215.0	-0.030636233638690176
216.0	-0.03005316761910818
217.0	-0.029383002938710153
218.0	-0.028629395694970042
219.0	-0.02779619643456726
220.0	-0.026887435423201864
221.0	-0.025907307614019125
222.0	-0.024860157362085928
223.0	-0.023750462932473806
224.0	-0.022582820849481884
225.0	-0.021361930134380057
226.0	-0.02009257647876368
