f	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
1	4.0496713864597975e-08	1.6983618128962876e-08	3.697913830772582e-07	1.6347970908228397e-07	0.0	0.0	0.0	0.0	1.130805396335672e-08	1.130805396335672e-08	1.0884463817086866e-07	1.0884463817086866e-07	6.239245107192252e-09	6.239245107192252e-09	6.110307630578842e-08	6.110307630578842e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	1.5819028853358584e-10	6.634225831626124e-11	1.4444975901455399e-09	6.385926136026717e-10	0.0	0.0	0.0	0.0	4.4172085794362186e-11	4.4172085794362186e-11	4.251743678549557e-10	4.251743678549557e-10	2.4372051199969734e-11	2.4372051199969734e-11	2.38683891819486e-10	2.38683891819486e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	6.172338647248591e-12	2.5885715788695152e-12	5.6362045888928286e-11	2.4916889053846075e-11	0.0	0.0	0.0	0.0	1.7235259813072287e-12	1.7235259813072287e-12	1.6589641544104366e-11	1.6589641544104366e-11	9.509594737375791e-13	9.509594737375791e-13	9.313073663433694e-12	9.313073663433694e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	1.23915212533683e-12	5.218497235102201e-13	1.028958414205875e-11	4.548808447492136e-12	0.0	0.0	0.0	0.0	3.477285482750514e-13	3.477285482750514e-13	3.0319949407305215e-12	3.0319949407305215e-12	1.9516810235623334e-13	1.9516810235623334e-13	1.7066040157321972e-12	1.7066040157321972e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5.932744424440026e-13	2.6196755606432e-13	4.330260763319625e-12	1.943413662844438e-12	0.0	0.0	0.0	0.0	1.7482479573363472e-13	1.7482479573363472e-13	1.2972702117610067e-12	1.2972702117610067e-12	1.0283397118912747e-13	1.0283397118912747e-13	7.358672579069136e-13	7.358672579069136e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	4.0639765485351983e-13	1.9030893265109433e-13	2.505937941735894e-12	1.1332514207000285e-12	0.0	0.0	0.0	0.0	1.2720608595980904e-13	1.2720608595980904e-13	7.58142078284196e-13	7.58142078284196e-13	7.847045118951623e-14	7.847045118951623e-14	4.37547688961932e-13	4.37547688961932e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	3.4129014416549946e-13	1.6312194227236657e-13	1.8110153829008369e-12	8.325928805143066e-13	0.0	0.0	0.0	0.0	1.0963894184145897e-13	1.0963894184145897e-13	5.570023432292052e-13	5.570023432292052e-13	7.197214322556055e-14	7.197214322556055e-14	3.214636082169296e-13	3.214636082169296e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	3.1250023672245216e-13	1.6272923026822435e-13	1.4085830347162513e-12	6.701767779844024e-13	0.0	0.0	0.0	0.0	1.0963894184145897e-13	1.0963894184145897e-13	4.51317799925515e-13	4.51317799925515e-13	7.197214322556055e-14	7.197214322556055e-14	2.6723200138410834e-13	2.6723200138410834e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	3.1250023672245216e-13	1.6272923026822435e-13	1.2520738086366678e-12	5.95712691541691e-13	0.0	0.0	0.0	0.0	1.0963894184145897e-13	1.0963894184145897e-13	4.011713777115689e-13	4.011713777115689e-13	7.197214322556055e-14	7.197214322556055e-14	2.375395567858741e-13	2.375395567858741e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	3.1250023672245216e-13	1.6272923026822435e-13	1.126866427773001e-12	5.361414223875219e-13	0.0	0.0	0.0	0.0	1.0963894184145897e-13	1.0963894184145897e-13	3.61054239940412e-13	3.61054239940412e-13	7.197214322556055e-14	7.197214322556055e-14	2.1378560110728667e-13	2.1378560110728667e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	3.1250023672245216e-13	1.6272923026822435e-13	1.0244240252481828e-12	4.874012930795653e-13	0.0	0.0	0.0	0.0	1.1270671903087849e-13	1.1270671903087849e-13	3.321898124937728e-13	3.321898124937728e-13	7.469532258163272e-14	7.469532258163272e-14	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	3.1250023672245216e-13	1.6272923026822435e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	1.2295278439732197e-13	1.2295278439732197e-13	3.321898124937728e-13	3.321898124937728e-13	8.148580645269024e-14	8.148580645269024e-14	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	3.3186742852725005e-13	1.7559242771593038e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	1.3319884976376546e-13	1.3319884976376546e-13	3.321898124937728e-13	3.321898124937728e-13	8.827629032374776e-14	8.827629032374776e-14	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	3.573956922601154e-13	1.8909953754023272e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	1.4344491513020895e-13	1.4344491513020895e-13	3.321898124937728e-13	3.321898124937728e-13	9.506677419480528e-14	9.506677419480528e-14	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	3.829239559929808e-13	2.0260664736453506e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	1.5369098049665246e-13	1.5369098049665246e-13	3.321898124937728e-13	3.321898124937728e-13	1.018572580658628e-13	1.018572580658628e-13	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	4.084522197258462e-13	2.161137571888374e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	1.6393704586309597e-13	1.6393704586309597e-13	3.321898124937728e-13	3.321898124937728e-13	1.0864774193692032e-13	1.0864774193692032e-13	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	4.3398048345871154e-13	2.296208670131397e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	1.7418311122953946e-13	1.7418311122953946e-13	3.321898124937728e-13	3.321898124937728e-13	1.1543822580797784e-13	1.1543822580797784e-13	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	4.595087471915769e-13	2.4312797683744207e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	1.8442917659598295e-13	1.8442917659598295e-13	3.321898124937728e-13	3.321898124937728e-13	1.2222870967903536e-13	1.2222870967903536e-13	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	4.850370109244423e-13	2.566350866617444e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	1.9467524196242644e-13	1.9467524196242644e-13	3.321898124937728e-13	3.321898124937728e-13	1.2901919355009288e-13	1.2901919355009288e-13	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	5.105652746573077e-13	2.7014219648604675e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	2.0492130732886995e-13	2.0492130732886995e-13	3.321898124937728e-13	3.321898124937728e-13	1.358096774211504e-13	1.358096774211504e-13	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	5.360935383901732e-13	2.836493063103491e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	2.1516737269531346e-13	2.1516737269531346e-13	3.321898124937728e-13	3.321898124937728e-13	1.4260016129220792e-13	1.4260016129220792e-13	2.000308317968347e-13	2.000308317968347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	5.616218021230385e-13	2.971564161346514e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	2.2541343806175697e-13	2.2541343806175697e-13	3.442011950348014e-13	3.442011950348014e-13	1.4939064516326544e-13	1.4939064516326544e-13	2.0509590049529225e-13	2.0509590049529225e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	5.871500658559039e-13	3.1066352595895373e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	2.356595034282004e-13	2.356595034282004e-13	3.5984670390001956e-13	3.5984670390001956e-13	1.5618112903432296e-13	1.5618112903432296e-13	2.1441844142689641e-13	2.1441844142689641e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	6.126783295887692e-13	3.241706357832561e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	2.4590556879464395e-13	2.4590556879464395e-13	3.754922127652378e-13	3.754922127652378e-13	1.6297161290538048e-13	1.6297161290538048e-13	2.237409823585006e-13	2.237409823585006e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	6.382065933216347e-13	3.376777456075584e-13	9.758172317980546e-13	4.72655776423529e-13	0.0	0.0	0.0	0.0	2.5615163416108744e-13	2.5615163416108744e-13	3.911377216304561e-13	3.911377216304561e-13	1.69762096776438e-13	1.69762096776438e-13	2.330635232901048e-13	2.330635232901048e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	6.637348570545001e-13	3.5118485543186077e-13	9.95358079283273e-13	4.757207820151426e-13	0.0	0.0	0.0	0.0	2.663976995275309e-13	2.663976995275309e-13	4.0678323049567435e-13	4.0678323049567435e-13	1.7655258064749552e-13	1.7655258064749552e-13	2.42386064221709e-13	2.42386064221709e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	6.892631207873655e-13	3.6469196525616313e-13	1.0336410823326298e-12	4.940177351695712e-13	0.0	0.0	0.0	0.0	2.7664376489397446e-13	2.7664376489397446e-13	4.224287393608926e-13	4.224287393608926e-13	1.8334306451855304e-13	1.8334306451855304e-13	2.517086051533132e-13	2.517086051533132e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	7.147913845202308e-13	3.7819907508046544e-13	1.0719240853819863e-12	5.123146883239997e-13	0.0	0.0	0.0	0.0	2.887381013822815e-13	2.887381013822815e-13	4.3807424822611077e-13	4.3807424822611077e-13	1.9013354838961056e-13	1.9013354838961056e-13	2.6103114608491736e-13	2.6103114608491736e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	7.403196482530961e-13	3.9170618490476776e-13	1.110207088431343e-12	5.306116414784283e-13	0.0	0.0	0.0	0.0	3.097305398756362e-13	3.097305398756362e-13	4.5371975709132904e-13	4.5371975709132904e-13	1.9692403226066808e-13	1.9692403226066808e-13	2.703536870165216e-13	2.703536870165216e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	7.658479119859616e-13	4.052132947290701e-13	1.1484900914806998e-12	5.489085946328569e-13	0.0	0.0	0.0	0.0	3.314595551582314e-13	3.314595551582314e-13	4.693652659565473e-13	4.693652659565473e-13	2.037145161317256e-13	2.037145161317256e-13	2.7967622794812574e-13	2.7967622794812574e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	7.91376175718827e-13	4.187204045533725e-13	1.1867730945300563e-12	5.672055477872854e-13	0.0	0.0	0.0	0.0	3.539251472300671e-13	3.539251472300671e-13	4.850107748217655e-13	4.850107748217655e-13	2.171850021454989e-13	2.171850021454989e-13	2.8899876887972996e-13	2.8899876887972996e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	8.169044394516924e-13	4.322275143776748e-13	1.225056097579413e-12	5.85502500941714e-13	0.0	0.0	0.0	0.0	3.7712731609114333e-13	3.7712731609114333e-13	5.006562836869838e-13	5.006562836869838e-13	2.31422936729439e-13	2.31422936729439e-13	2.9832130981133417e-13	2.9832130981133417e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	8.424327031845577e-13	4.457346242019771e-13	1.2633391006287696e-12	6.037994540961426e-13	0.0	0.0	0.0	0.0	4.0106606174145995e-13	4.0106606174145995e-13	5.16301792552202e-13	5.16301792552202e-13	2.4611286923667875e-13	2.4611286923667875e-13	3.0764385074293834e-13	3.0764385074293834e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	8.679609669174231e-13	4.592417340262794e-13	1.3016221036781263e-12	6.220964072505711e-13	0.0	0.0	0.0	0.0	4.2574138418101716e-13	4.2574138418101716e-13	5.319473014174203e-13	5.319473014174203e-13	2.612547996672182e-13	2.612547996672182e-13	3.1696639167454255e-13	3.1696639167454255e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	8.934892306502885e-13	4.727488438505818e-13	1.339905106727483e-12	6.403933604049997e-13	0.0	0.0	0.0	0.0	4.5115328340981495e-13	4.5115328340981495e-13	5.475928102826385e-13	5.475928102826385e-13	2.7684872802105736e-13	2.7684872802105736e-13	3.262889326061467e-13	3.262889326061467e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	9.190174943831539e-13	4.862559536748841e-13	1.3781881097768398e-12	6.586903135594282e-13	0.0	0.0	0.0	0.0	4.773017594278532e-13	4.773017594278532e-13	5.632383191478568e-13	5.632383191478568e-13	2.9289465429819625e-13	2.9289465429819625e-13	3.3561147353775093e-13	3.3561147353775093e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
