f	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
1	4.6576534306289625	2.0700682298883284	4.657653430629032	2.0700682298883586	0.0	0.0	0.0	0.0	1.3770972892995774	1.3770972892995774	1.377097289299598	1.377097289299598	0.774617245405337	0.774617245405337	0.7746172454053486	0.7746172454053486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	1.0801913215720199e-08	4.799751143862043e-09	1.2128681550299324e-08	5.389860664687381e-09	0.0	0.0	0.0	0.0	3.193951840140923e-09	3.193951840140923e-09	3.5866335510667114e-09	3.5866335510667114e-09	1.7964350601739736e-09	1.7964350601739736e-09	2.017381959015456e-09	2.017381959015456e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	1.5933718306250242e-11	6.702957505934984e-12	1.4090511472232075e-10	6.22922226346152e-11	0.0	0.0	0.0	0.0	4.462661899807532e-12	4.462661899807532e-12	4.1474103860260906e-11	4.1474103860260906e-11	2.4599629270519835e-12	2.4599629270519835e-12	2.3282684158584238e-11	2.3282684158584238e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	3.097880313342076e-12	1.3046243087755498e-12	2.5723960355146872e-11	1.1372021118730344e-11	0.0	0.0	0.0	0.0	8.693213706876283e-13	8.693213706876283e-13	7.579987351826309e-12	7.579987351826309e-12	4.879202558905834e-13	4.879202558905834e-13	4.266510039330493e-12	4.266510039330493e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	1.483186106110006e-12	6.549188901608e-13	1.0825651908299063e-11	4.858534157111104e-12	0.0	0.0	0.0	0.0	4.3706198933408676e-13	4.3706198933408676e-13	3.2431755294025224e-12	3.2431755294025224e-12	2.5708492797281863e-13	2.5708492797281863e-13	1.839668144767284e-12	1.839668144767284e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	1.0159941371337997e-12	4.757723316277357e-13	6.264844854339736e-12	2.833128551750078e-12	0.0	0.0	0.0	0.0	3.180152148995226e-13	3.180152148995226e-13	1.8953551957104948e-12	1.8953551957104948e-12	1.9617612797379058e-13	1.9617612797379058e-13	1.0938692224048301e-12	1.0938692224048301e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	8.532253604137489e-13	4.0780485568091636e-13	4.527538457252093e-12	2.0814822012857713e-12	0.0	0.0	0.0	0.0	2.7409735460364734e-13	2.7409735460364734e-13	1.3925058580730165e-12	1.3925058580730165e-12	1.799303580639014e-13	1.799303580639014e-13	8.036590205423242e-13	8.036590205423242e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	7.812505918061306e-13	4.068230756705608e-13	3.521457586790628e-12	1.6754419449610095e-12	0.0	0.0	0.0	0.0	2.7409735460364734e-13	2.7409735460364734e-13	1.1282944998137903e-12	1.1282944998137903e-12	1.799303580639014e-13	1.799303580639014e-13	6.680800034602709e-13	6.680800034602709e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	7.812505918061306e-13	4.068230756705608e-13	3.1301845215916694e-12	1.4892817288542306e-12	0.0	0.0	0.0	0.0	2.7409735460364734e-13	2.7409735460364734e-13	1.0029284442789246e-12	1.0029284442789246e-12	1.799303580639014e-13	1.799303580639014e-13	5.938488919646852e-13	5.938488919646852e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	7.812505918061306e-13	4.068230756705608e-13	2.8171660694325025e-12	1.3403535559688075e-12	0.0	0.0	0.0	0.0	2.7409735460364734e-13	2.7409735460364734e-13	9.026355998510321e-13	9.026355998510321e-13	1.799303580639014e-13	1.799303580639014e-13	5.344640027682167e-13	5.344640027682167e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	7.812505918061306e-13	4.068230756705608e-13	2.5610600631204566e-12	1.2185032326989158e-12	0.0	0.0	0.0	0.0	2.817667975771961e-13	2.817667975771961e-13	8.304745312344329e-13	8.304745312344329e-13	1.8673830645408183e-13	1.8673830645408183e-13	5.000770794920866e-13	5.000770794920866e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
