f HF LF HF_LF
1.000000000000000000e+00 1.546763622903162649e-33 1.150596032579467918e-26 1.546763414969420915e-33
1.003075857942949956e+00 1.383515330969949840e-33 1.553864866611192539e-26 1.383515207785846654e-33
1.006161176787985001e+00 1.239043935829974883e-33 1.221048014978888889e-26 1.239043810099479579e-33
1.009255985635496122e+00 1.110986586765384886e-33 7.917406139629207609e-27 1.110986430869501549e-33
1.012360313675382706e+00 9.973061539470436004e-34 5.133805611706930366e-27 9.973059602078475451e-34
1.015474190187328318e+00 8.962421010590358807e-34 3.328910994521380603e-27 8.962418597640030924e-34
1.018597644541076708e+00 8.062694387539696200e-34 2.158594987001361260e-27 8.062691375996684494e-34
1.021730706196708249e+00 7.260643160685144850e-34 1.399736582897848837e-27 7.260639394482818658e-34
1.024873404704919277e+00 6.544750850936627514e-34 9.076691649497529825e-28 6.544746131845744321e-34
1.028025769707298975e+00 5.904978947817401750e-34 5.885927674808940731e-28 5.904973023731459867e-34
1.031187830936610261e+00 5.332560455087134934e-34 3.816878030189389019e-28 5.332553004977109820e-34
1.034359618217070009e+00 4.819824766342103775e-34 2.475184720943797392e-28 4.819815380915090125e-34
1.037541161464629491e+00 4.360048723035815118e-34 1.605139833224855882e-28 4.360036879847553892e-34
1.040732490687257927e+00 3.947329619104280285e-34 1.040935940053460733e-28 3.947314650505890650e-34
1.043933635985224262e+00 3.576476654862021932e-34 9.198999561612055326e-29 3.576462749941767968e-34
1.047144627551382046e+00 3.242917943205491592e-34 8.248196935774687014e-29 3.242905193175974669e-34
1.050365495671453209e+00 2.942620661005940759e-34 7.395766330228286178e-29 2.942608952980679409e-34
1.053596270724314721e+00 2.672022339604675900e-34 6.631519141554762967e-29 2.672011573331574088e-34
1.056836983182284584e+00 2.427971617737370507e-34 5.946323217382181459e-29 2.427961704011037664e-34
1.060087663611408937e+00 2.207677051653337950e-34 5.331993182058305495e-29 2.207667910948130191e-34
1.063348342671751157e+00 2.008662801556548217e-34 4.781192162462980637e-29 2.008654362846781341e-34
1.066619051117680739e+00 1.828730199481661205e-34 4.287343727389716831e-29 1.828722399220962254e-34
1.069899819798162621e+00 1.665924358341235615e-34 3.844552977602817267e-29 1.665917139577551347e-34
1.073190679657049618e+00 1.518505110773104442e-34 3.447535834440769243e-29 1.518498422379637876e-34
1.076491661733372407e+00 1.384921674153795398e-34 3.091555674044099224e-29 1.384915470159257803e-34
1.079802797161634409e+00 1.263790528419430297e-34 2.852506558514928332e-29 1.263784929275691946e-34
1.083124117172103329e+00 1.153876069175195896e-34 3.017621644517481120e-29 1.153871657008765722e-34
1.086455653091107809e+00 1.054073662431312298e-34 3.192332545825255744e-29 1.054070182005632249e-34
1.089797436341330972e+00 9.633947812003031342e-35 3.377198758092153472e-29 9.633920329852193504e-35
1.093149498442107737e+00 8.809539497798290986e-35 3.572812482736735317e-29 8.809517776032823208e-35
1.096511871009722583e+00 8.059572601919616320e-35 3.779800542347520474e-29 8.059555416734500658e-35
1.099884585757706645e+00 7.376922580801227989e-35 3.998826408393635563e-29 7.376908972086866097e-35
1.103267674497137696e+00 6.755190233099545419e-35 4.230592347828056974e-29 6.755179446779695197e-35
1.106661169136939460e+00 6.188622943548494839e-35 4.475841695557468331e-29 6.188614386721961342e-35
1.110065101684183597e+00 5.672045059136549388e-35 4.735361260161844513e-29 5.672038265133970039e-35
1.113479504244390350e+00 5.200796266442709791e-35 5.009983870678909728e-29 5.200790867572289238e-35
1.116904409021832301e+00 4.770676988507278888e-35 5.300591072727516561e-29 4.770672694771328421e-35
1.120339848319837905e+00 4.377899948088461203e-35 5.245187609086743984e-29 4.377896294073888752e-35
1.123785854541095697e+00 4.019047154722452001e-35 4.674065568791501698e-29 4.019043698903121823e-35
1.127242460187960704e+00 3.691031668310116884e-35 4.165174472257974634e-29 3.691028397450085995e-35
1.130709697862760210e+00 3.391063574247337196e-35 3.711728229333130763e-29 3.391060476148298294e-35
1.134187600268101725e+00 3.116619676270377711e-35 3.307681368031663599e-29 3.116616739678858114e-35
1.137676200207181632e+00 2.865416474816526656e-35 2.947648133165878172e-29 2.865413689340370286e-35
1.141175530584093822e+00 2.635386052151574200e-35 2.626830430611116029e-29 2.635383408184687216e-35
1.144685624404141011e+00 2.424654531938818542e-35 2.340953649065506592e-29 2.424652020593276845e-35
1.148206514774145148e+00 2.231522821307805206e-35 2.086209497238736464e-29 2.231520434352524908e-35
1.151738234902759839e+00 2.054449378646915969e-35 1.859205088841142927e-29 2.054447108452191123e-35
1.155280818100784535e+00 1.892034781019698864e-35 1.656917591827773826e-29 1.892032620506983956e-35
1.158834297781477618e+00 1.743007891887023534e-35 1.476653833212882880e-29 1.743005834483414963e-35
1.162398707460871483e+00 1.606213453236288278e-35 1.247185329977519692e-29 1.606211384643695758e-35
1.165974080758089615e+00 1.480600946720844251e-35 1.017363280369746318e-29 1.480598791958611749e-35
1.169560451395663003e+00 1.365214586380606298e-35 8.298988510058623418e-30 1.365212340555348784e-35
1.173157853199848333e+00 1.259184321282448104e-35 6.769837719890865424e-30 1.259181979214186669e-35
1.176766320100947283e+00 1.161717740270180618e-35 5.522494525192726268e-30 1.161715296473699006e-35
1.180385886133625606e+00 1.072092783195549711e-35 4.505014785356572360e-30 1.072090231860525922e-35
1.184016585437235758e+00 9.896511737268844023e-36 3.675030845217399491e-30 9.896485086967133058e-36
1.187658452256137087e+00 9.137924982845062281e-36 2.997985636908371975e-30 9.137897130337215210e-36
1.191311520940020685e+00 8.439688639914991522e-36 2.445692482812528329e-30 8.439659516016937504e-36
1.194975825944231795e+00 7.796800758938322984e-36 1.995160513929434836e-30 7.796770290279740039e-36
1.198651401830095553e+00 7.204692802147808669e-36 1.627636705254582598e-30 7.204660910898097145e-36
1.202338283265242502e+00 6.659190261700210355e-36 1.327824570677550182e-30 6.659156865276068408e-36
1.206036505023936778e+00 6.156477039732332400e-36 1.353143961613722757e-30 6.156449029381497498e-36
1.209746101987402067e+00 5.693063211855615128e-36 1.446011337611003128e-30 5.693040797895027659e-36
1.213467109144152678e+00 5.265755835772318076e-36 1.545264561733071427e-30 5.265737891861145669e-36
1.217199561590322165e+00 4.871632502345414866e-36 1.651343396204023998e-30 4.871618130571937343e-36
1.220943494529994844e+00 4.508017358147162229e-36 1.764717919021120020e-30 4.508005842330175139e-36
1.224698943275537966e+00 4.172459356704973616e-36 1.885890615059338198e-30 4.172450125321973077e-36
1.228465943247934122e+00 3.862712520766220864e-36 2.015398611433495270e-30 3.862705117506470276e-36
1.232244529977116754e+00 3.576718020273285611e-36 2.153816067066657247e-30 3.576712080633988014e-36
1.236034739102303437e+00 3.312587890690609371e-36 2.301756727098284630e-30 3.312583123365456506e-36
1.239836606372333172e+00 3.068590234127361671e-36 2.459876653499021227e-30 3.068586406197914727e-36
1.243650167646003668e+00 2.843135761606515327e-36 2.628877144041222387e-30 2.843132686752965879e-36
1.247475458892408406e+00 2.634765549041801272e-36 2.741317429707800413e-30 2.634763016689016856e-36
1.251312516191277702e+00 2.442139892201801308e-36 1.623755220249575263e-30 2.442136219210818381e-36
1.255161375733317319e+00 2.264028157321445774e-36 9.699945679292159964e-31 2.264022872950066318e-36
1.259022073820550425e+00 2.099299534216841043e-36 5.794333819906285079e-31 2.099291928437290625e-36
1.262894646866660642e+00 1.946914607897670935e-36 3.461172064201124055e-31 1.946903656534667887e-36
1.266779131397334446e+00 1.805917672871352372e-36 2.067418202861884145e-31 1.805901898074803080e-36
1.270675564050605999e+00 1.675429721688376933e-36 1.234863487498804566e-31 1.675406990214851832e-36
1.274583981577203318e+00 1.554642045889913466e-36 7.375560515637324806e-32 1.554609277384490458e-36
1.278504420840894218e+00 1.442810393456808027e-36 4.405108180951782025e-32 1.442763138461789560e-36
1.282436918818834259e+00 1.339249632201038769e-36 2.630895459021031131e-32 1.339181461560746011e-36
1.286381512601915356e+00 1.243328873348061036e-36 1.571216634913421059e-32 1.243230494529015641e-36
1.290338239395115716e+00 1.154467013885349176e-36 9.383265568362663450e-33 1.154324991887066359e-36
1.294307136517851120e+00 1.072128660152532538e-36 5.970648997852535983e-33 1.071936176304146347e-36
1.298288241404326415e+00 9.958203986628360092e-37 4.557483484483458991e-33 9.956028571977840240e-37
1.302281591603888344e+00 9.250873833160330932e-37 3.478677212798490050e-33 9.248414395003488270e-37
1.306287224781380596e+00 8.595102110244705238e-37 2.655147331521721039e-33 8.592320649778384975e-37
1.310305178717498187e+00 7.987020603567917886e-37 2.026509190987799212e-33 7.983873942996991708e-37
1.314335491309144732e+00 7.423060701383758862e-37 1.546656918790326139e-33 7.419499769641571195e-37
1.318378200569789049e+00 6.899929370574151618e-37 1.180388185848685679e-33 6.895898390561647609e-37
1.322433344629823537e+00 6.414587132333297460e-37 9.008265353404591299e-34 6.410022696507543797e-37
1.326500961736924999e+00 5.964227864312091703e-37 6.874528775250823319e-34 5.959057883904971007e-37
1.330581090256414134e+00 5.546260271689182616e-37 5.246022402273309686e-34 5.540402783198037626e-37
1.334673768671618133e+00 5.158290883795206213e-37 4.003158503946235689e-34 5.151652694698933982e-37
1.338779035584233723e+00 4.798108445744301739e-37 3.054645846019579262e-34 4.790583599726605401e-37
1.342896929714690213e+00 4.463669586163678935e-37 2.392376413801340247e-34 4.455356830418088291e-37
1.347027489902516084e+00 4.153085652660022362e-37 1.928248638855154015e-34 4.144159910036435882e-37
