f HF LF HF_LF
1.000000000000000000e+00 8.700545605429394787e-34 6.472102851873360634e-27 8.700544435802066745e-34
1.003075857942949956e+00 7.782273940632124207e-34 8.740490103801741741e-27 7.782273247721526892e-34
1.006161176787985001e+00 6.969622322794464058e-34 6.868395265406217773e-27 6.969621615560408619e-34
1.009255985635496122e+00 6.249299716324582870e-34 4.453541071724687397e-27 6.249298839410217183e-34
1.012360313675382706e+00 5.609847265670537986e-34 2.887765733689690340e-27 5.609846175887531202e-34
1.015474190187328318e+00 5.041361953827031442e-34 1.872512484723164252e-27 5.041360596542435872e-34
1.018597644541076708e+00 4.535265715516452131e-34 1.214209713008872172e-27 4.535264021523461968e-34
1.021730706196708249e+00 4.084111888897008781e-34 7.873518492936120622e-28 4.084109770408141978e-34
1.024873404704919277e+00 3.681422454329359445e-34 5.105639192555634781e-28 3.681419799840665485e-34
1.028025769707298975e+00 3.321550749538008242e-34 3.310834408237479143e-28 3.321547417239574150e-34
1.031187830936610261e+00 2.999565339021714914e-34 2.146993951459002062e-28 2.999561148334709469e-34
1.034359618217070009e+00 2.711151506576411761e-34 1.392291444338638102e-28 2.711146227273569795e-34
1.037541161464629491e+00 2.452527475429943875e-34 9.028911815105146086e-29 2.452520813636360697e-34
1.040732490687257927e+00 2.220372973342168828e-34 5.855264828022293651e-29 2.220364553505337531e-34
1.043933635985224262e+00 2.011768175420105202e-34 5.174437400316461110e-29 2.011760353902240961e-34
1.047144627551382046e+00 1.824141395106169817e-34 4.639610908909895953e-29 1.824134223214362563e-34
1.050365495671453209e+00 1.655224169335658169e-34 4.160118680324771484e-29 1.655217583571259615e-34
1.053596270724314721e+00 1.503012609439446777e-34 3.730229625000363803e-29 1.503006553410652369e-34
1.056836983182284584e+00 1.365734074663158150e-34 3.344806907102958352e-29 1.365728498191934170e-34
1.060087663611408937e+00 1.241818377858604427e-34 2.999246252715901868e-29 1.241813236211775067e-34
1.063348342671751157e+00 1.129872859106279194e-34 2.689420670607853050e-29 1.129868112331895968e-34
1.066619051117680739e+00 1.028660767645137882e-34 2.411630918133850395e-29 1.028656379998365280e-34
1.069899819798162621e+00 9.370824794612140660e-35 2.162561114391457578e-29 9.370784189065207093e-35
1.073190679657049618e+00 8.541591503888947753e-35 1.939238965059299525e-29 8.541553881674573618e-35
1.076491661733372407e+00 7.790184651806386099e-35 1.739000119149436665e-29 7.790149754336062130e-35
1.079802797161634409e+00 7.108821937809404982e-35 1.604534987903228693e-29 7.108790442624923654e-35
1.083124117172103329e+00 6.490553087001550545e-35 1.697412226918673809e-29 6.490528268564625763e-35
1.086455653091107809e+00 5.929164533032585540e-35 1.795687112246121145e-29 5.929144955637536566e-35
1.089797436341330972e+00 5.419095811456132075e-35 1.899674360204031995e-29 5.419080352745809906e-35
1.093149498442107737e+00 4.955366121318904108e-35 2.009707084104338510e-29 4.955353902825450955e-35
1.096511871009722583e+00 4.533509730130082977e-35 2.126137871667986807e-29 4.533500063463154865e-35
1.099884585757706645e+00 4.149519082030252882e-35 2.249339925612229509e-29 4.149511427128185238e-35
1.103267674497137696e+00 3.799794626170098305e-35 2.379708271115020890e-29 3.799788558864991586e-35
1.106661169136939460e+00 3.481100516377944809e-35 2.517661034079363931e-29 3.481095703162866902e-35
1.110065101684183597e+00 3.190525447758421053e-35 2.663640794350667243e-29 3.190521626131848024e-35
1.113479504244390350e+00 2.925447993943095244e-35 2.818116018283062777e-29 2.925444957078386261e-35
1.116904409021832301e+00 2.683505892829556047e-35 2.981582575308895661e-29 2.683503477603006800e-35
1.120339848319837905e+00 2.462568800912574934e-35 2.950418126588940226e-29 2.462566745529311078e-35
1.123785854541095697e+00 2.260714098504834040e-35 2.629161968947528366e-29 2.260712154606397871e-35
1.127242460187960704e+00 2.076205381753889193e-35 2.342910718204304392e-29 2.076203541895061547e-35
1.130709697862760210e+00 1.907473323652530462e-35 2.087847198541284760e-29 1.907471580971763849e-35
1.134187600268101725e+00 1.753098626263876472e-35 1.860570831870908947e-29 1.753096974431092241e-35
1.137676200207181632e+00 1.611796821048863143e-35 1.658052130814212530e-29 1.611795254218473100e-35
1.141175530584093822e+00 1.482404704250106851e-35 1.477592167349082677e-29 1.482403217018683343e-35
1.144685624404141011e+00 1.363868220399172510e-35 1.316786472549209614e-29 1.363866807767257563e-35
1.148206514774145148e+00 1.255231629729965347e-35 1.173492882501930509e-29 1.255230287067574625e-35
1.151738234902759839e+00 1.155627815061823332e-35 1.045802898613859177e-29 1.155626538077247357e-35
1.155280818100784535e+00 1.064269600970975302e-35 9.320161778100046631e-30 1.064268385682531805e-35
1.158834297781477618e+00 9.804419731340670186e-36 8.306178102413268779e-30 9.804408158444975899e-36
1.162398707460871483e+00 9.034950989006513730e-36 7.015417728068608105e-30 9.034939353172781899e-36
1.165974080758089615e+00 8.328380616839629834e-36 5.722668654759843547e-30 8.328368496301653560e-36
1.169560451395663003e+00 7.679332318661135832e-36 4.668181203258893308e-30 7.679319685893622814e-36
1.173157853199848333e+00 7.082912057831836126e-36 3.808033853973311504e-30 7.082898883697405336e-36
1.176766320100947283e+00 6.534662521469693607e-36 3.106403282484442377e-30 6.534648775114001353e-36
1.180385886133625606e+00 6.030522121123102897e-36 2.534070908742114191e-30 6.030507769863087842e-36
