f	psd[1/Hz]
1.0	3.480217618958545e-33
1.25	5.639102622883522e-36
1.5	6.991635653136852e-38
1.75	2.803294057401225e-40
2.0	1.0103042869525923e-42
2.25	1.252578758773825e-44
2.5	1.9459432702291988e-45
2.75	8.671070475945224e-46
3.0	4.482437743879008e-46
3.25	2.5157199182688526e-46
3.5	1.5083588753317494e-46
3.75	9.50490192433421e-47
4.0	6.282417430308113e-47
4.25	4.3282884333480265e-47
4.5	3.0990356821232085e-47
4.75	2.2948521575685824e-47
5.0	1.7519414493205494e-47
5.25	1.3755523167664005e-47
5.5	1.1085912142370283e-47
5.75	9.152255518771158e-48
6.0	7.70819007005609e-48
6.25	6.603658419095906e-48
6.5	5.738510111813821e-48
6.75	5.03102441987147e-48
7.0	4.4364138430824887e-48
7.25	3.937115207284269e-48
7.5	3.521614125443869e-48
7.75	3.181430675037585e-48
8.0	2.906013081578073e-48
8.25	2.6789761602511856e-48
8.5	2.492088921502246e-48
8.75	2.3415017221151625e-48
9.0	2.2196676601905666e-48
9.25	2.1200277988278927e-48
9.5	2.0376183682072642e-48
9.75	1.9686601255172288e-48
10.0	1.9109079226514617e-48
10.25	1.861852331872439e-48
10.5	1.8190305799346737e-48
10.75	1.7810863143338696e-48
11.0	1.746947717349708e-48
11.25	1.7157646221630388e-48
11.5	1.6868624128961106e-48
11.75	1.6597074204954657e-48
12.0	1.6338813076691206e-48
12.25	1.609062954773029e-48
12.5	1.5850174325594538e-48
12.75	1.5615931986759295e-48
13.0	1.5387316383728013e-48
13.25	1.5165001259664576e-48
13.5	1.495179193357283e-48
13.75	1.475496418271859e-48
14.0	1.4593373145919517e-48
14.25	1.4524364328165322e-48
14.5	1.4791981926364714e-48
14.75	1.7741736499794058e-48
15.0	1.1071212910578636e-47
15.25	1.5323789275811113e-48
15.5	1.3468251513378424e-48
15.75	1.2884183162560283e-48
16.0	1.2512108952726954e-48
16.25	1.2203874103140507e-48
16.5	1.192154385731142e-48
16.75	1.1652185293751858e-48
17.0	1.1390661577313718e-48
17.25	1.1134809133003466e-48
17.5	1.0883774395225566e-48
17.75	1.0637353898932762e-48
18.0	1.0395709305999851e-48
18.25	1.015924521896953e-48
18.5	9.928573679209607e-49
18.75	9.704544137987562e-49
19.0	9.488352335832816e-49
19.25	9.281785593433979e-49
19.5	9.08775800777188e-49
