f	psd[1/Hz]
10.0	1.0
10.025	1.0
10.05	1.0
10.075	1.0
10.1	1.0
10.125	1.0
10.15	1.0
10.175	1.0
10.2	1.0
10.225	1.0
10.25	1.0
10.275	1.0
10.3	1.0
10.325	1.0
10.35	1.0
10.375	1.0
10.4	1.0
10.425	1.0
10.45	1.0
10.475	1.0
10.5	1.0
10.525	1.0
10.55	1.0
10.575	1.0
10.6	1.0
10.625	1.0
10.65	1.0
10.675	1.0
10.7	1.0
10.725	1.0
10.75	1.0
10.775	1.0
10.8	1.0
10.825	1.0
10.85	1.0
10.875	1.0
10.9	1.0
10.925	1.0
10.95	1.0
10.975	1.0
11.0	1.0
11.025	1.0
11.05	1.0
11.075	1.0
11.1	1.0
11.125	1.0
11.15	1.0
11.175	1.0
11.2	1.0
11.225	1.0
11.25	1.0
11.275	1.0
11.3	1.0
11.325	1.0
11.35	1.0
11.375	1.0
11.4	1.0
11.425	1.0
11.45	1.0
11.475	1.0
11.5	1.0
11.525	1.0
11.55	1.0
11.575	1.0
11.6	1.0
11.625	1.0
11.65	1.0
11.675	1.0
11.7	1.0
11.725	1.0
11.75	1.0
11.775	1.0
11.8	1.0
11.825	1.0
11.85	1.0
11.875	1.0
11.9	1.0
11.925	1.0
11.95	1.0
11.975	1.0
12.0	1.0
12.025	1.0
12.05	1.0
12.075	1.0
12.1	1.0
12.125	1.0
12.15	1.0
12.175	1.0
12.2	1.0
12.225	1.0
12.25	1.0
12.275	1.0
12.3	1.0
12.325	1.0
12.35	1.0
12.375	1.0
12.4	1.0
12.425	1.0
12.45	1.0
12.475	1.0
12.5	1.0
12.525	1.0
12.55	1.0
12.575	1.0
12.6	1.0
12.625	1.0
12.65	1.0
12.675	1.0
12.7	1.0
12.725	1.0
12.75	1.0
12.775	1.0
12.8	1.0
12.825	1.0
12.85	1.0
12.875	1.0
12.9	1.0
12.925	1.0
12.95	1.0
12.975	1.0
13.0	1.0
13.025	1.0
13.05	1.0
13.075	1.0
13.1	1.0
13.125	1.0
13.15	1.0
13.175	1.0
13.2	1.0
13.225	1.0
13.25	1.0
13.275	1.0
13.3	1.0
13.325	1.0
13.35	1.0
13.375	1.0
13.4	1.0
13.425	1.0
13.45	1.0
13.475	1.0
13.5	1.0
13.525	1.0
13.55	1.0
13.575	1.0
13.6	1.0
13.625	1.0
13.65	1.0
13.675	1.0
13.7	1.0
13.725	1.0
13.75	1.0
13.775	1.0
13.8	1.0
13.825	1.0
13.85	1.0
13.875	1.0
13.9	1.0
13.925	1.0
13.95	1.0
13.975	1.0
14.0	1.0
14.025	1.0
14.05	1.0
14.075	1.0
14.1	1.0
14.125	1.0
14.15	1.0
14.175	1.0
14.2	1.0
14.225	1.0
14.25	1.0
14.275	1.0
14.3	1.0
14.325	1.0
14.35	1.0
14.375	1.0
14.4	1.0
14.425	1.0
14.45	1.0
14.475	1.0
14.5	1.0
14.525	1.0
14.55	1.0
14.575	1.0
14.6	1.0
14.625	1.0
14.65	1.0
14.675	1.0
14.7	1.0
14.725	1.0
14.75	1.0
14.775	1.0
14.8	1.0
14.825	1.0
14.85	1.0
14.875	1.0
14.9	1.0
14.925	1.0
14.95	1.0
14.975	1.0
15.0	1.0
15.025	1.0
15.05	1.0
15.075	1.0
15.1	1.0
15.125	1.0
15.15	1.0
15.175	1.0
15.2	1.0
15.225	1.0
15.25	1.0
15.275	1.0
15.3	1.0
15.325	1.0
15.35	1.0
15.375	1.0
15.4	1.0
15.425	1.0
15.45	1.0
15.475	1.0
15.5	1.0
15.525	1.0
15.55	1.0
15.575	1.0
15.6	1.0
15.625	1.0
15.65	1.0
15.675	1.0
15.7	1.0
15.725	1.0
15.75	1.0
15.775	1.0
15.8	1.0
15.825	1.0
15.85	1.0
15.875	1.0
15.9	1.0
15.925	1.0
15.95	1.0
15.975	1.0
16.0	1.0
16.025	1.0
16.05	1.0
16.075	1.0
16.1	1.0
16.125	1.0
16.15	1.0
16.175	1.0
16.2	1.0
16.225	1.0
16.25	1.0
16.275	1.0
16.3	1.0
16.325	1.0
16.35	1.0
16.375	1.0
16.4	1.0
16.425	1.0
16.45	1.0
16.475	1.0
16.5	1.0
16.525	1.0
16.55	1.0
16.575	1.0
16.6	1.0
16.625	1.0
16.65	1.0
