f	psd[1/Hz]
1.0	6.045529008999999e-31
1.0093	5.221507600000001e-31
1.0186	4.5100626489999995e-31
1.028	3.895507395999999e-31
1.0376	3.364812049e-31
1.0472	2.9065037440000008e-31
1.0569	2.5107114489999997e-31
1.0667	2.1687648999999996e-31
1.0765	1.8735046560000005e-31
1.0865	1.6184528999999996e-31
1.0966	1.3981616639999998e-31
1.1067	1.207910025e-31
1.117	1.043548416e-31
1.1273	9.01620729e-32
1.1378	7.789680999999999e-32
1.1483	6.73039249e-32
1.1589	5.815332250000002e-32
1.1697	5.024770560000001e-32
1.1805	4.34180569e-32
1.1915	3.751969e-32
1.2025	3.2421603599999994e-32
1.2136	2.8016064399999997e-32
1.2249	2.4211360000000002e-32
1.2362	2.0923622499999997e-32
1.2477	1.80848704e-32
1.2592	1.5630000400000003e-32
1.2709	1.3509412900000004e-32
1.2826	1.16769636e-32
1.2945	1.0092211599999999e-32
1.3065	8.723746801000001e-33
1.3186	7.541011921e-33
1.3308	6.518947600000001e-33
1.3432	5.6356550409999994e-33
1.3556	4.872179601e-33
1.3682	4.2122696039999986e-33
1.3808	3.642001800999999e-33
1.3936	3.149005455999999e-33
1.4065	2.7228567609999997e-33
1.4196	2.354481529e-33
1.4327	2.0359948839999998e-33
1.446	1.7607255210000006e-33
1.4594	1.5227164839999996e-33
1.4729	1.3169641e-33
1.4865	1.138995001e-33
1.5003	9.85206544e-34
1.5142	8.521728639999998e-34
1.5282	7.371768009999998e-34
1.5424	6.3771400900000015e-34
1.5567	5.51686144e-34
1.5711	4.772914089999999e-34
1.5856	4.12983684e-34
1.6003	3.5732340900000007e-34
1.6151	3.0919705599999995e-34
1.6301	2.67551449e-34
1.6452	2.3155708899999997e-34
1.6604	2.0039233599999995e-34
1.6758	1.7344890000000003e-34
1.6913	1.5011150400000002e-34
1.707	1.2993720100000001e-34
1.7228	1.1248723599999998e-34
1.7388	9.738729224999998e-35
1.7549	8.431646976e-35
1.7711	7.300506249e-35
1.7875	6.321681081e-35
1.8041	5.474668080999999e-35
1.8208	4.742112768999999e-35
1.8377	4.1091946089999995e-35
1.8547	3.5670756250000006e-35
1.8719	3.226126401e-35
1.8892	2.722021929e-35
1.9067	2.3188077160000005e-35
1.9244	2.005158841e-35
1.9422	1.7363055609999997e-35
1.9602	1.5041210889999996e-35
1.9783	1.30321e-35
1.9966	1.1293632359999998e-35
2.0151	9.78751225e-36
2.0338	8.483238759999999e-36
2.0526	7.35331689e-36
2.0716	6.374615039999999e-36
2.0908	5.5267308099999994e-36
2.1102	4.7921588100000004e-36
2.1297	4.1554822499999996e-36
2.1495	3.603542890000001e-36
2.1694	3.1254704100000004e-36
2.1895	2.7109622500000003e-36
2.2098	2.35162225e-36
2.2302	2.0400408900000005e-36
2.2509	1.7699641600000003e-36
2.2717	1.53586449e-36
2.2928	1.3326393599999999e-36
2.314	1.15670025e-36
2.3354	1.00380361e-36
2.3571	8.714222499999998e-37
2.3789	7.564998529e-37
2.4009	6.568129936e-37
2.4232	5.703119361e-37
2.4456	4.952499875999999e-37
2.4683	4.3012610560000005e-37
2.4911	3.7360211290000007e-37
2.5142	3.2453530239999997e-37
2.5375	2.8193976039999996e-37
2.561	2.449755025e-37
2.5847	2.1287150440000004e-37
2.6087	1.8499461210000006e-37
2.6328	1.6079298010000003e-37
2.6572	1.3977129959999999e-37
2.6818	1.215080164e-37
2.7067	1.0565100160000001e-37
2.7317	9.186961e-38
2.757	7.989667559999999e-38
2.7826	6.949023210000001e-38
2.8083	6.045205689999999e-38
2.8343	5.25922489e-38
2.8606	4.57574881e-38
2.8871	3.982020249999999e-38
2.9138	3.46555456e-38
2.9408	3.01647424e-38
2.9681	2.62602025e-38
2.9955	2.2864464099999998e-38
3.0233	1.9909209999999998e-38
3.0513	1.7339622399999994e-38
3.0796	1.51019521e-38
3.1081	1.315609e-38
3.1369	1.1461843599999997e-38
3.1659	9.988403364e-39
3.1952	8.70489e-39
3.2248	7.587281024999998e-39
3.2547	6.614243583999999e-39
3.2849	5.7668836e-39
3.3153	5.0287953960000015e-39
3.346	4.3858830760000004e-39
3.377	3.8256699040000006e-39
3.4083	3.337603984e-39
3.4398	2.9122212250000007e-39
3.4717	2.5415713960000002e-39
3.5038	2.218315801e-39
3.5363	1.936616049e-39
3.569	1.690936641e-39
3.6021	1.4766343289999998e-39
3.6355	1.2898153959999998e-39
3.6691	1.126743489e-39
3.7031	9.845161289999999e-40
3.7374	8.604248889999999e-40
3.772	7.521306250000001e-40
3.807	6.5756344899999995e-40
3.8422	5.749924410000001e-40
3.8778	5.02925476e-40
3.9137	4.39992576e-40
3.95	3.850228839999999e-40
3.9866	3.36979449e-40
4.0235	2.95014976e-40
4.0608	2.5834132899999997e-40
4.0984	2.2629184900000005e-40
4.1363	1.98274561e-40
4.1747	1.7376512399999998e-40
4.2133	1.52324964e-40
4.2523	1.33587364e-40
4.2917	1.1718062499999999e-40
4.3315	1.02839881e-40
4.3716	9.0269001e-41
4.4121	7.927053156e-41
4.453	6.964069401000001e-41
4.4942	6.120558755999999e-41
4.5358	5.381542881e-41
4.5778	4.733990416000001e-41
4.6202	4.166444304000001e-41
4.663	3.6687248999999994e-41
4.7062	3.2322636089999997e-41
4.7498	2.849317641e-41
4.7938	2.513317689e-41
4.8382	2.2183158009999998e-41
4.883	1.959213169e-41
4.9282	1.731724996e-41
4.9739	1.5317047689999998e-41
