f	psd[1/Hz]
10.0	6.117271260019241e-40
10.125	5.64489795892036e-40
10.25	2.6369826818652102e-40
10.375	1.858240627929e-40
10.5	1.71989795502144e-40
10.625	1.9312357946588103e-40
10.75	2.059207780036e-40
10.875	1.831182716944e-40
11.0	1.48015838462976e-40
11.125	9.559760551344784e-41
11.25	5.793728574970117e-41
11.375	5.844596689801445e-41
11.5	5.074442321414401e-41
11.625	5.3061041058601e-41
11.75	5.545810985920805e-41
11.875	4.1692141315803043e-41
12.0	2.986080833761936e-41
12.125	2.6319881640448364e-41
12.25	2.039154558686001e-41
12.375	1.9483017280640408e-41
12.5	1.5675907620673443e-41
12.625	1.5789752066150406e-41
12.75	1.5405577900036e-41
12.875	1.259494247337316e-41
13.0	1.2090097843891242e-41
13.125	1.190782256490369e-41
13.25	1.8466229504672014e-41
13.375	2.5047632667120995e-41
13.5	4.761345834280036e-41
13.625	1.5484524660448902e-40
13.75	1.8434701272802504e-40
13.875	4.828935983378116e-41
14.0	1.8104343355416013e-41
14.125	3.9899982600040005e-42
14.25	1.0838102960564101e-42
14.375	6.425545600569001e-43
14.5	2.5944381997543836e-43
14.625	2.794599429888841e-43
14.75	3.514825527409296e-43
14.875	5.86791435694997e-43
15.0	6.893623211399717e-43
15.125	4.621194065803226e-43
15.25	2.0173386302328492e-43
15.375	1.9994348916316806e-43
15.5	1.982542680217009e-43
15.625	2.148302384147089e-43
15.75	2.2152835681064013e-43
15.875	1.797450832493316e-43
16.0	1.977366738278464e-43
16.125	1.9087713617021443e-43
16.25	2.2465810211645443e-43
16.375	2.6914518076736158e-43
16.5	3.1404656846601642e-43
16.625	2.5952412111201003e-43
16.75	1.539360585518596e-43
16.875	1.4467584440932839e-43
17.0	1.228216999289329e-43
17.125	1.7373948761207612e-43
17.25	1.487367440358409e-43
17.375	1.019101296769956e-43
17.5	7.06304664890449e-44
17.625	5.154036878700161e-44
17.75	4.61205303927481e-44
17.875	3.79834217720896e-44
18.0	2.89495183935364e-44
18.125	2.3505489225e-44
18.25	2.6071017269648395e-44
18.375	2.53034844170761e-44
18.5	2.0459497546890001e-44
18.625	1.8952164342259598e-44
18.75	1.78828276183561e-44
18.875	1.6051962569395601e-44
19.0	1.3828969739289602e-44
19.125	1.2846921274947599e-44
19.25	1.14590345177344e-44
19.375	1.0137030243152399e-44
19.5	9.612836927845775e-45
19.625	8.771432849541185e-45
19.75	9.661490062108642e-45
19.875	9.756006756250001e-45
20.0	1.1652526742796902e-44
20.125	9.939146262201289e-45
20.25	5.785898373098649e-45
20.375	5.177367754629184e-45
20.5	4.773339803388321e-45
20.625	4.526602840481089e-45
20.75	4.0127210370657646e-45
20.875	3.91218612849584e-45
21.0	3.675637251637156e-45
21.125	3.320088369963263e-45
21.25	2.8084968405340086e-45
21.375	3.01134245049e-45
21.5	2.524403062059844e-45
21.625	2.2747163959561692e-45
21.75	2.5200476304057757e-45
21.875	2.3494311520067607e-45
22.0	2.215284227041636e-45
22.125	1.976864375335249e-45
22.25	1.606124569802256e-45
22.375	1.8827487677664092e-45
22.5	1.5118099240000002e-45
22.625	1.799177456890944e-45
22.75	1.766339082898569e-45
22.875	1.6769970139317158e-45
23.0	1.570069697051025e-45
23.125	1.4479239581472158e-45
23.25	1.505549340385281e-45
23.375	1.449579066462244e-45
23.5	1.357001848300036e-45
23.625	1.2944417406792011e-45
23.75	1.1795766208512252e-45
23.875	1.429437756104836e-45
24.0	1.4323155529430248e-45
24.125	1.337744084633856e-45
24.25	1.1723434972080039e-45
24.375	9.017957348473958e-46
24.5	9.39384003994384e-46
24.625	1.0419605036245692e-45
24.75	1.054278755576281e-45
24.875	9.25986908381089e-46
25.0	8.35314852490596e-46
25.125	8.353234074494439e-46
25.25	9.181341779314408e-46
25.375	8.012619051649002e-46
25.5	7.55623184937201e-46
25.625	7.42155931166521e-46
25.75	7.030932179690248e-46
25.875	7.968504705316e-46
26.0	7.62288797338084e-46
26.125	8.101793713225e-46
26.25	8.704026396925692e-46
26.375	7.432692605912252e-46
26.5	8.59470364725625e-46
26.625	7.97228382564289e-46
26.75	7.75638318880656e-46
26.875	7.93832428201024e-46
27.0	6.81824689203529e-46
27.125	7.527903957246759e-46
27.25	7.620361906300092e-46
27.375	8.735848006350239e-46
27.5	1.018125377837929e-45
27.625	7.501395730329762e-46
27.75	6.5434069744705594e-46
27.875	6.6085113435062496e-46
28.0	6.89362570161225e-46
28.125	6.74294125546276e-46
28.25	6.45357373093225e-46
28.375	7.06000344824889e-46
28.5	6.541281953649001e-46
28.625	5.81138529444225e-46
28.75	4.885562245428641e-46
28.875	4.4763176643610006e-46
29.0	5.33336392481929e-46
29.125	5.097112209362251e-46
29.25	5.4819334023384095e-46
29.375	5.2772178906241605e-46
29.5	5.616595222134489e-46
29.625	5.5909155794368905e-46
29.75	4.31202750838084e-46
29.875	4.63525183233225e-46
30.0	4.1472015077304095e-46
30.125	4.332188078602809e-46
30.25	4.044477759267689e-46
30.375	4.5856761901286396e-46
30.5	4.52640687825316e-46
30.625	4.2664439245838404e-46
30.75	3.93662820719844e-46
30.875	3.820612838465441e-46
31.0	3.80652118254864e-46
31.125	3.23994168026244e-46
31.25	2.6684591390556102e-46
31.375	2.8141937976248106e-46
31.5	3.4230565026201605e-46
31.625	3.49704436548996e-46
31.75	3.0638809056302498e-46
31.875	2.95611937570161e-46
32.0	2.45993345430625e-46
32.125	2.4400695580128404e-46
32.25	2.5779481488010002e-46
32.375	2.66571484118289e-46
32.5	2.70146402249161e-46
32.625	2.29233589573444e-46
32.75	2.4589115796088905e-46
32.875	3.17266417776676e-46
33.0	2.34876804627481e-46
33.125	2.538821583424e-46
33.25	2.3669388644988097e-46
33.375	1.89237770602384e-46
33.5	1.92249012121321e-46
33.625	2.07540672937984e-46
33.75	2.0088195099808895e-46
33.875	2.1557342769156095e-46
34.0	2.04038569618849e-46
34.125	1.68886866939904e-46
34.25	1.7330108508576902e-46
34.375	1.7089775994736901e-46
34.5	1.8953948546755596e-46
34.625	1.7681340029439997e-46
34.75	1.6214495096822501e-46
34.875	1.6523066330726399e-46
35.0	1.659289201956e-46
35.125	1.68366221311201e-46
35.25	1.2535527511108902e-46
35.375	1.39944428295721e-46
35.5	1.66265860825744e-46
35.625	1.50284919855625e-46
35.75	1.4764458952628101e-46
35.875	1.5361311989377601e-46
36.0	1.41901914483081e-46
36.125	1.4258717053416898e-46
36.25	1.54362708669841e-46
36.375	1.502548866225e-46
36.5	1.5238253252622399e-46
36.625	1.517242551696e-46
36.75	1.5635704332696101e-46
36.875	1.4534691899208102e-46
37.0	1.2425489559302399e-46
37.125	1.3171395428890001e-46
37.25	1.54781665912384e-46
37.375	1.40813798517001e-46
37.5	1.16175803566144e-46
37.625	1.27066708677769e-46
