f	psd[1/Hz]
10.0	3.92698388591161e-40
10.125	3.9639766722864406e-40
10.25	1.9044565804202502e-40
10.375	7.065599422694401e-41
10.5	5.022155216871557e-41
10.625	5.194780398780626e-41
10.75	6.513885861987904e-41
10.875	6.027230024046169e-41
11.0	5.463690956902656e-41
11.125	4.651609105722436e-41
11.25	2.257861867777296e-41
11.375	2.2324602521707242e-41
11.5	2.5156204238335214e-41
11.625	2.2043311395930255e-41
11.75	1.798084544245929e-41
11.875	1.2726988467590254e-41
12.0	9.01698740833401e-42
12.125	1.329109494958116e-41
12.25	1.6689260209050813e-41
12.375	5.2698188443939614e-42
12.5	2.12407363936804e-42
12.625	1.7694229946515602e-42
12.75	1.5839720150402502e-42
12.875	1.47032697495616e-42
13.0	1.3864195873542399e-42
13.125	1.3608512679580899e-42
13.25	1.5141302500000002e-42
13.375	2.0882371313875605e-42
13.5	3.58135867572484e-42
13.625	2.0157477925264e-41
13.75	2.6576158181807616e-41
13.875	8.766025758756251e-42
14.0	4.0741270807408906e-42
14.125	7.904073064761318e-43
14.25	3.144574525168036e-43
14.375	2.6569477453569214e-43
14.5	1.7612037410232045e-43
14.625	1.5935303133882093e-43
14.75	1.5070444192489002e-43
14.875	1.818344342918401e-43
15.0	2.043675923077156e-43
15.125	1.5890275165616642e-43
15.25	1.288315130113449e-43
15.375	1.0331754061581162e-43
15.5	8.850107357569002e-44
15.625	1.0545450885376002e-43
15.75	1.0680416169808362e-43
15.875	8.175455813045161e-44
16.0	8.450335628305212e-44
16.125	8.953663594649291e-44
16.25	1.4332545890058014e-43
16.375	1.5261408706176095e-43
16.5	1.988360937463681e-43
16.625	1.7795820714186493e-43
16.75	7.594043423732642e-44
16.875	8.378548799927291e-44
17.0	8.037480719034012e-44
17.125	1.2505179344515694e-43
17.25	1.0086957579208413e-43
17.375	7.169216703044492e-44
17.5	5.40478198786969e-44
17.625	4.14273795716089e-44
17.75	3.15617325046884e-44
17.875	3.36136546036729e-44
18.0	3.3371704726977606e-44
18.125	3.7808231914692106e-44
18.25	3.3741696480156904e-44
18.375	3.1430180421648107e-44
18.5	2.6280018469876905e-44
18.625	2.0268180459649606e-44
18.75	1.7045965824040002e-44
18.875	1.4771643443822502e-44
19.0	1.5138337140202504e-44
19.125	1.4505186588750403e-44
19.25	1.34478719478016e-44
19.375	1.3060665801892901e-44
19.5	1.17586979125009e-44
19.625	9.581460108414488e-45
19.75	1.1097423649376103e-44
19.875	8.769589984995922e-45
20.0	8.359364441793599e-45
20.125	7.95208984510908e-45
20.25	8.141820501169369e-45
20.375	7.34117909662376e-45
20.5	6.204824911445521e-45
20.625	5.900542381440144e-45
20.75	5.737015076803396e-45
20.875	4.924099900268761e-45
21.0	4.850564480248036e-45
21.125	4.670081560620024e-45
21.25	4.327363882420804e-45
21.375	4.153609023353001e-45
21.5	3.6848576083687833e-45
21.625	3.680450672891523e-45
21.75	3.119570902028161e-45
21.875	2.680468794283536e-45
22.0	2.977532715633528e-45
22.125	2.7255669856833688e-45
22.25	2.2755073263892838e-45
22.375	2.0765710366092812e-45
22.5	2.0476173433672363e-45
22.625	1.74120929284e-45
22.75	1.631881575074916e-45
22.875	1.852945546589316e-45
23.0	1.881844788655225e-45
23.125	1.8248991200702436e-45
23.25	1.591361212313161e-45
23.375	1.3974021860766487e-45
23.5	1.1343634837779691e-45
23.625	1.050740782577424e-45
23.75	1.1095866787906808e-45
23.875	1.447625420714929e-45
24.0	1.3264938300499691e-45
24.125	1.1920026237028809e-45
24.25	1.361853181857025e-45
24.375	1.5173616843689287e-45
24.5	1.3517196377475999e-45
24.625	1.1772123316387837e-45
24.75	1.1585970850252408e-45
24.875	9.02000069955856e-46
25.0	7.40410820461081e-46
25.125	6.9942402678387595e-46
25.25	8.641359277237208e-46
25.375	9.811887785884889e-46
25.5	9.868764648681e-46
25.625	6.94678112422009e-46
25.75	6.085668137076089e-46
25.875	6.92628860172649e-46
26.0	7.672173169213439e-46
26.125	6.9501087983748096e-46
26.25	5.84962450884009e-46
26.375	6.30487191126016e-46
26.5	6.607870739968409e-46
26.625	5.74915806669604e-46
26.75	5.51250527625625e-46
26.875	4.3460462209192896e-46
27.0	5.06463052410756e-46
27.125	4.971715940490249e-46
27.25	4.54663121854561e-46
27.375	4.858286479934409e-46
27.5	5.08572362299401e-46
27.625	5.06771774374464e-46
27.75	5.29764473991769e-46
27.875	5.0867881118028096e-46
28.0	4.03682074769281e-46
28.125	4.14683250795529e-46
28.25	3.857673490035209e-46
28.375	4.230671002740249e-46
28.5	4.178276128522239e-46
28.625	3.40065465066496e-46
28.75	3.3832871471379602e-46
28.875	2.8064548563552895e-46
29.0	3.23850905156164e-46
29.125	3.1963697201923603e-46
29.25	3.20748542578116e-46
29.375	3.3311736175900897e-46
29.5	3.3220738007424897e-46
29.625	2.81478097281481e-46
29.75	2.98648444976704e-46
29.875	3.1623352409793597e-46
30.0	2.8232360299014397e-46
30.125	3.1956953827406404e-46
30.25	3.3705699342854395e-46
30.375	3.1291098070409994e-46
30.5	3.07298866523364e-46
30.625	2.8882601419392394e-46
30.75	2.3717096492673598e-46
30.875	2.1909431936722498e-46
31.0	1.95279048195984e-46
31.125	2.1594499413448896e-46
31.25	2.3235535964484902e-46
31.375	2.39894995239936e-46
31.5	2.2616965616784395e-46
31.625	1.9796872705849598e-46
31.75	2.0375075870864096e-46
31.875	1.86761605905625e-46
32.0	2.0819976369864102e-46
32.125	1.86674235242884e-46
32.25	2.1809045690899596e-46
32.375	2.2982435688168097e-46
32.5	2.32675760286369e-46
32.625	2.1633435363948096e-46
32.75	2.25123376908544e-46
32.875	2.1495286733544096e-46
33.0	1.9855650645606396e-46
33.125	1.97283795350625e-46
33.25	1.6983080856722497e-46
33.375	1.717785073449e-46
33.5	1.69027171092025e-46
33.625	1.63511639885889e-46
33.75	1.7241906415233598e-46
33.875	1.6778551977202498e-46
34.0	1.42784408273049e-46
34.125	1.3509192063902498e-46
34.25	1.31401263115521e-46
34.375	1.43940078235009e-46
34.5	1.72656604092996e-46
34.625	1.70997415253604e-46
34.75	1.42664558627529e-46
34.875	1.667819856481e-46
35.0	1.69120895613201e-46
35.125	1.4325583591620899e-46
35.25	1.3180027298489999e-46
35.375	1.47138913586889e-46
35.5	1.3676757518428898e-46
35.625	1.21083240311089e-46
35.75	1.27968199163809e-46
35.875	1.3901280115616097e-46
36.0	1.354556133316e-46
36.125	1.32191954370576e-46
36.25	1.23978693623184e-46
36.375	1.10251176003136e-46
36.5	1.2142409094760001e-46
36.625	1.27008301881616e-46
36.75	1.1374096653348102e-46
36.875	9.288667803730226e-47
37.0	1.1327849383816902e-46
37.125	1.29351315985984e-46
37.25	1.1668154049792901e-46
37.375	1.02986937469504e-46
37.5	1.0487709786630399e-46
37.625	1.09757219874064e-46
37.75	1.0842255113822499e-46
37.875	9.58132306999829e-47
38.0	1.07307202848561e-46
38.125	9.208214892789137e-47
38.25	1.255022797284e-46
38.375	1.0856827255209998e-46
