f	psd[1/Hz]
0.0	2.861213319777863e-45
0.5	6.060123740472216e-45
1.0	1.0921307583235219e-44
1.5	5.2243409012764076e-45
2.0	1.756434230443195e-45
2.5	1.3237398061715326e-45
3.0	9.826623774615303e-46
3.5	1.488247832318135e-45
4.0	1.6778155484077876e-45
4.5	3.9390501466652104e-45
5.0	5.98796612290483e-45
5.5	2.1470781631350395e-44
6.0	4.666249222645834e-44
6.5	4.79083562590976e-43
7.0	4.2323401304156737e-42
7.5	5.593828462185729e-40
8.0	4.788816580885216e-39
8.5	6.7442143558502e-39
9.0	4.616605482010211e-39
9.5	3.016129996893144e-39
10.0	9.662848231721108e-40
10.5	3.9534777100171724e-41
11.0	7.598073650899254e-42
11.5	2.5308146778657416e-42
12.0	1.8795225981867364e-42
12.5	1.2995486237886297e-42
13.0	9.060552780807219e-43
13.5	6.202346435209062e-43
14.0	4.3863116732163594e-43
14.5	4.389330964308752e-43
15.0	5.346241339553572e-43
15.5	5.452318191953615e-43
16.0	1.1374994188580598e-42
16.5	1.4569404958385377e-42
17.0	4.843681353846542e-43
17.5	1.0856816987567614e-43
18.0	8.725926831745702e-44
18.5	8.710229982032053e-44
19.0	8.341047152570132e-44
19.5	6.136882127714852e-44
20.0	4.980399675555192e-44
20.5	4.233116302086284e-44
21.0	3.314321546835574e-44
21.5	2.52000797878204e-44
22.0	1.7662314766822906e-44
22.5	1.5173469454110826e-44
23.0	1.2024528392772714e-44
23.5	9.13895348335289e-45
24.0	8.416213981502808e-45
24.5	9.017364560675284e-45
25.0	8.043244221072071e-45
25.5	6.042720244571505e-45
26.0	6.008259307905071e-45
26.5	4.896361308578558e-45
27.0	4.153384894136569e-45
27.5	3.484417645115207e-45
28.0	3.0802999207071124e-45
28.5	2.8889333684759494e-45
29.0	3.029928432703139e-45
29.5	2.637121101247217e-45
30.0	2.1509458598494043e-45
30.5	1.9847937794122685e-45
31.0	1.9458759992770767e-45
31.5	1.655629149407241e-45
32.0	1.4882282097283238e-45
32.5	1.1809066463495858e-45
33.0	1.2500188528060582e-45
33.5	1.2052167164081248e-45
34.0	1.1893714511977424e-45
34.5	1.106678008018773e-45
35.0	8.53547155263341e-46
35.5	7.768255663115516e-46
36.0	7.618032280969493e-46
36.5	1.0377120591925876e-45
37.0	8.882453187043334e-46
37.5	6.406871285883471e-46
38.0	6.591171809244287e-46
38.5	6.156737056645367e-46
39.0	5.233777850864191e-46
39.5	4.912832225249612e-46
40.0	4.6517226980253145e-46
40.5	4.7801047733276474e-46
41.0	5.721386992022076e-46
41.5	6.380280483282962e-46
42.0	5.4170334140510264e-46
42.5	4.759662552511963e-46
43.0	4.3595456945782745e-46
43.5	4.358930740508686e-46
44.0	4.919970521196515e-46
44.5	4.572367917276619e-46
45.0	4.071646835934943e-46
45.5	4.666375703261015e-46
46.0	5.19095661248999e-46
46.5	4.841386217883926e-46
47.0	5.80755313307123e-46
47.5	7.89970783436093e-46
48.0	8.53753552659669e-46
48.5	1.1040753519353785e-45
49.0	8.601690205280936e-46
49.5	9.97008873513551e-46
50.0	1.543714148033283e-45
50.5	8.774420170135124e-46
51.0	4.159381610484645e-46
51.5	2.7298213326865068e-46
52.0	2.6062360157454635e-46
52.5	3.086891188735625e-46
53.0	2.7791040061940907e-46
53.5	2.6601503944572517e-46
54.0	2.4280426954331484e-46
54.5	2.1611261800466426e-46
55.0	2.1039889518527444e-46
55.5	2.0566341737434374e-46
56.0	1.7498708053674078e-46
56.5	1.813182971764273e-46
57.0	1.7923555193033094e-46
57.5	1.6556651010930705e-46
58.0	1.6171869321596897e-46
58.5	1.7600554543457753e-46
59.0	1.5342249618581001e-46
59.5	1.4532986717044607e-46
60.0	2.401734491585571e-46
60.5	6.5885604659001834e-46
61.0	1.2612872498344764e-45
61.5	1.2910986992028256e-45
62.0	1.3666726739059195e-45
62.5	1.5901762919988615e-45
63.0	3.5241316662196944e-46
63.5	5.4244821574636425e-46
64.0	2.3087544563248354e-46
64.5	1.4056987164349658e-46
65.0	1.383041681724776e-46
65.5	1.3001796382437166e-46
66.0	1.32857752075512e-46
66.5	1.4384958533803628e-46
67.0	1.3311487591604505e-46
67.5	1.1400742807941778e-46
68.0	1.0268092018283207e-46
68.5	1.2169981158975002e-46
69.0	1.2471912582361927e-46
69.5	1.2304705334390486e-46
70.0	1.411298448058057e-46
70.5	1.572807744711136e-46
71.0	1.5412801521369912e-46
71.5	1.3123746185135354e-46
72.0	1.155387087034963e-46
72.5	1.0956097824834536e-46
73.0	1.190426915424237e-46
73.5	1.1107284863166129e-46
74.0	1.036456185654085e-46
74.5	1.0271973482669188e-46
75.0	1.1200384727247003e-46
75.5	1.1877873006861073e-46
76.0	1.2812729975309268e-46
76.5	1.1547768527707547e-46
77.0	1.0497596635751736e-46
77.5	1.0236501982019691e-46
78.0	9.743780216377848e-47
78.5	9.943354762602135e-47
79.0	1.0512934268461408e-46
79.5	9.733866930831973e-47
80.0	9.75872549150539e-47
80.5	1.1944394674140689e-46
81.0	1.151983333869424e-46
81.5	1.043180739621882e-46
82.0	1.0676543792297373e-46
82.5	9.255270849743877e-47
83.0	8.96623912586929e-47
83.5	9.00180217479799e-47
84.0	9.353680807653248e-47
84.5	8.522921271538161e-47
85.0	7.941920363647906e-47
85.5	8.635920679703649e-47
86.0	8.740496667356815e-47
86.5	1.0012448681039971e-46
87.0	1.2121574881369626e-46
87.5	9.63145170606814e-47
88.0	8.57638863105429e-47
88.5	9.980976224821387e-47
89.0	1.0465250961873165e-46
89.5	1.0372291080048912e-46
90.0	9.765854983826395e-47
90.5	9.488762250638603e-47
91.0	9.739622048389202e-47
91.5	1.0006822079227166e-46
92.0	1.0482717778746381e-46
92.5	1.0177047085612882e-46
93.0	1.2830319534720955e-46
93.5	1.311845909973872e-46
94.0	1.1867330551659385e-46
94.5	1.1625068123885807e-46
95.0	1.0562705392194437e-46
95.5	1.0015819270612832e-46
96.0	9.911191055187646e-47
96.5	1.0577767980529146e-46
97.0	1.393208744015737e-46
97.5	1.0870998446988172e-46
98.0	1.074558441141496e-46
98.5	1.1432602116738001e-46
99.0	1.2839693458303162e-46
99.5	8.027636447139727e-46
100.0	3.019595166499697e-45
100.5	9.947833397438125e-46
101.0	6.385533485505781e-46
101.5	5.314421336754767e-46
102.0	2.0758086857344464e-46
102.5	1.2633567559535462e-46
103.0	1.1047586413883885e-46
103.5	1.381834893126246e-46
104.0	1.4754683805733437e-46
104.5	1.425045395965039e-46
105.0	1.7759369257864693e-46
105.5	2.3079117167463537e-46
106.0	2.722784593490425e-46
106.5	2.3089818516025838e-46
107.0	1.7438732691474982e-46
107.5	1.665730164722042e-46
108.0	1.3912718633859145e-46
108.5	1.1116367663943439e-46
109.0	1.1381928237533121e-46
109.5	1.3008107663581443e-46
110.0	1.4621992422052137e-46
110.5	1.0800595217068879e-46
111.0	9.843933719508128e-47
111.5	1.0523756479946283e-46
112.0	9.99644565469863e-47
112.5	9.746014696827522e-47
113.0	9.527909559199023e-47
113.5	8.732167219338489e-47
114.0	9.664102629698714e-47
114.5	9.220508160800714e-47
115.0	8.663382359044334e-47
115.5	9.963718866289455e-47
116.0	1.0210162318561867e-46
