f	Total	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
1.0	3.8846268797868496e-11	8.774463948813115e-12	3.138952986627245e-12	1.3143371113038029e-11	5.501461727249597e-12	3.588817079960553e-14	4.4096842573123335e-14	2.0711079054607576e-14	2.851488184038042e-14	6.277088578318685e-12	6.277088578318685e-12	9.503510240862751e-12	9.503510240862751e-12	2.948980750381321e-12	2.948980750381321e-12	4.7429416730791636e-12	4.7429416730791636e-12	3.0297353089514954e-14	3.0297353089514954e-14	3.77083819194996e-14	3.77083819194996e-14	2.0040520037659806e-14	2.0040520037659806e-14	2.6282384233743758e-14	2.6282384233743758e-14
2.000400320256205	6.155183616465239e-11	1.3893399189831345e-11	4.9689690319354355e-12	2.081330622088769e-11	8.709920077069874e-12	5.67286775020818e-14	6.971094304554869e-14	3.272798188859013e-14	4.506707337368482e-14	9.938259153911978e-12	9.938259153911978e-12	1.504800645691066e-11	1.504800645691066e-11	4.668171392559854e-12	4.668171392559854e-12	7.508767151015428e-12	7.508767151015428e-12	4.788633912932868e-14	4.788633912932868e-14	5.960700715156289e-14	5.960700715156289e-14	3.166769193495876e-14	3.166769193495876e-14	4.153670068315589e-14	4.153670068315589e-14
3.00080064051241	8.050475805797266e-11	1.8160407578223215e-11	6.493673441860247e-12	2.7208121050708453e-11	1.1383767708559003e-11	7.404074132578087e-14	9.099268253696025e-14	4.270390247409158e-14	5.881269249197748e-14	1.298961030249372e-11	1.298961030249372e-11	1.966989989025431e-11	1.966989989025431e-11	6.100496101890486e-12	6.100496101890486e-12	9.81357400345766e-12	9.81357400345766e-12	6.249429077760609e-14	6.249429077760609e-14	7.779874631492855e-14	7.779874631492855e-14	4.131965540278164e-14	4.131965540278164e-14	5.420326516592229e-14	5.420326516592229e-14
4.001200960768616	9.735137966912212e-11	2.1948473024502208e-11	7.846634075707059e-12	3.2886260184639574e-11	1.3756977832197606e-11	8.936053846426888e-14	1.0982887215143301e-13	5.152647146708226e-14	7.097302281908569e-14	1.569806071291109e-11	1.569806071291109e-11	2.3773137177739708e-11	2.3773137177739708e-11	7.371447101673546e-12	7.371447101673546e-12	1.1859105847799582e-11	1.1859105847799582e-11	7.541860404669954e-14	7.541860404669954e-14	9.389756874232361e-14	9.389756874232361e-14	4.9855374368242594e-14	4.9855374368242594e-14	6.540795708446008e-14	6.540795708446008e-14
5.00160128102482	1.1277577673886529e-10	2.5412662196013866e-11	9.08339183957695e-12	3.807987530594347e-11	1.592683301572019e-11	1.0332749994907905e-13	1.270048445935466e-13	5.95652381605078e-14	8.205647068460373e-14	1.817458800479745e-11	1.817458800479745e-11	2.7525655502483474e-11	2.7525655502483474e-11	8.533207852758142e-12	8.533207852758142e-12	1.3729246948000521e-11	1.3729246948000521e-11	8.719935424857243e-14	8.719935424857243e-14	1.0857527869222868e-13	1.0857527869222868e-13	5.763246812360017e-14	5.763246812360017e-14	7.561948141615057e-14	7.561948141615057e-14
6.002001601281025	1.2714598550795478e-10	2.8636441270618856e-11	1.0233846815753009e-11	4.29139156787993e-11	1.7945700577058898e-11	1.162861213594571e-13	1.4294368182609368e-13	6.701932627765444e-14	9.233696019933391e-14	2.0478930154218373e-11	2.0478930154218373e-11	3.1017847789097654e-11	3.1017847789097654e-11	9.613871243048468e-12	9.613871243048468e-12	1.5469153299011133e-11	1.5469153299011133e-11	9.812752242976144e-14	9.812752242976144e-14	1.2219380994741621e-13	1.2219380994741621e-13	6.484363401166596e-14	6.484363401166596e-14	8.509037693692162e-14	8.509037693692162e-14
7.00240192153723	1.4068888108599047e-10	3.1671284190648746e-11	1.1316440921940591e-11	4.746543344199795e-11	1.9845877761979868e-11	1.2844900312287599e-13	1.5790647509897757e-13	7.401163341883229e-14	1.0198354734326709e-13	2.2647929483797122e-11	2.2647929483797122e-11	3.430545924280772e-11	3.430545924280772e-11	1.0630764675423942e-11	1.0630764675423942e-11	1.7106675123170466e-11	1.7106675123170466e-11	1.083826889828245e-13	1.083826889828245e-13	1.349765234860614e-13	1.349765234860614e-13	7.160780408257103e-14	7.160780408257103e-14	9.397650353625643e-14	9.397650353625643e-14
8.002802241793436	1.5355684783140625e-10	3.455177707299286e-11	1.2343566928758603e-11	5.178619842166976e-11	2.1649066781005793e-11	1.399590680695904e-13	1.7206874280220177e-13	8.062478298284263e-14	1.1110988478330798e-13	2.4706341858941927e-11	2.4706341858941927e-11	3.742594562500314e-11	3.742594562500314e-11	1.1595532053691206e-11	1.1595532053691206e-11	1.8660526737134833e-11	1.8660526737134833e-11	1.1808558090765123e-13	1.1808558090765123e-13	1.4707357561348381e-13	1.4707357561348381e-13	7.800493601115426e-14	7.800493601115426e-14	1.0238264323131487e-13	1.0238264323131487e-13
9.00320256204964	1.6585850765126316e-10	3.7302581586441257e-11	1.3324062329826777e-11	5.591312351724479e-11	2.337074314638859e-11	1.509182632754735e-13	1.8555568176785013e-13	8.691771132131499e-14	1.1979704200304353e-13	2.6671820053404794e-11	2.6671820053404794e-11	4.040601463799858e-11	4.040601463799858e-11	1.2516476885474661e-11	1.2516476885474661e-11	2.0144053206685262e-11	2.0144053206685262e-11	1.2732231357961792e-13	1.2732231357961792e-13	1.585920729895769e-13	1.585920729895769e-13	8.409206472920514e-14	8.409206472920514e-14	1.1038353815768023e-13	1.1038353815768023e-13
10.003602882305845	1.7767475374756266e-10	3.99420692482952e-11	1.4264511043838872e-11	5.987370567342646e-11	2.502243567113244e-11	1.6140254935141564e-13	1.98460576274282e-13	9.293433126848316e-14	1.2810542358368234e-13	2.8557514721378625e-11	2.8557514721378625e-11	4.326556187068499e-11	4.326556187068499e-11	1.3399785296335342e-11	1.3399785296335342e-11	2.1567196329429577e-11	2.1567196329429577e-11	1.3615705129739794e-13	1.3615705129739794e-13	1.6961182071809432e-13	1.6961182071809432e-13	8.991168631686322e-14	8.991168631686322e-14	1.1803487829100079e-13	1.1803487829100079e-13
11.00400320256205	1.8906789095238338e-10	4.248439369714666e-11	1.5169985705613457e-11	6.36891282068693e-11	2.6613026574640537e-11	1.7147045255137224e-13	2.1085530087874822e-13	9.870847568398505e-14	1.3608156953054104e-13	3.037355751069288e-11	3.037355751069288e-11	4.6019915059095524e-11	4.6019915059095524e-11	1.425022345294458e-11	1.425022345294458e-11	2.293761569476287e-11	2.293761569476287e-11	1.4463923101137317e-13	1.4463923101137317e-13	1.8019430732226518e-13	1.8019430732226518e-13	9.54965420172095e-14	9.54965420172095e-14	1.253795709282668e-13	1.253795709282668e-13
