freq	HL	HV	HK	HI	LV	LK	LI	VI	IK	VK	E1E2	E2E3	E1E3	E1H	E1L	E2H	E2L	E3H	E3L	CE1CE2
1	-0.89026143	-0.016973512	-0.81127446	-0.48431498	-0.2450244	0.20088482	0.54160682	-0.41175558	1.1980216	0.57532945	-0.37500001	-0.37499999	-0.37500014	0.1660721	-0.30637753	0.19153441	0.061159674	-0.35760812	0.2452195	-0.89026143
2	-0.88904143	-0.020893253	-0.80416198	-0.46142455	-0.23869195	0.20162484	0.51278109	-0.40741312	1.1914837	0.55506857	-0.37500001	-0.37499999	-0.37500014	0.15992778	-0.30140657	0.19127602	0.056633571	-0.35120998	0.24477933	-0.88904143
3	-0.88701064	-0.027308718	-0.79240524	-0.42419264	-0.22828347	0.20277534	0.46607969	-0.40023369	1.1806428	0.52187543	-0.375	-0.37499998	-0.37500013	0.14984495	-0.29322201	0.19082677	0.049208018	-0.34068515	0.24402806	-0.88701064
4	-0.88417286	-0.036046882	-0.77614873	-0.37395993	-0.214014	0.20421574	0.40345097	-0.39030346	1.1655815	0.47659613	-0.37499998	-0.37499996	-0.37500011	0.13605615	-0.28197223	0.19015944	0.039057064	-0.32623852	0.24293988	-0.88417286
5	-0.88053341	-0.04687168	-0.75559151	-0.31252993	-0.19617787	0.20578449	0.32749791	-0.37774137	1.1464144	0.42038298	-0.37499997	-0.37499995	-0.3750001	0.11887914	-0.26786059	0.18923739	0.026418689	-0.30815048	0.24148001	-0.88053341
6	-0.8760991	-0.059489993	-0.73098416	-0.24209909	-0.17514224	0.20728604	0.24136068	-0.36269759	1.123287	0.35466324	-0.37499994	-0.37499992	-0.37500008	0.09870918	-0.25114122	0.18801584	0.011589279	-0.28677075	0.23960595	-0.8760991
7	-0.87087823	-0.073559076	-0.70262481	-0.16517195	-0.15133893	0.20849923	0.14857524	-0.34535138	1.0963742	0.28110066	-0.37499992	-0.3749999	-0.37500005	0.076009641	-0.23211373	0.18644358	-0.0050832561	-0.26251057	0.23726913	-0.87087823
8	-0.86488053	-0.088695239	-0.67085448	-0.084464738	-0.12525494	0.20918699	0.052915015	-0.32590868	1.0658786	0.20155055	-0.37499989	-0.37499987	-0.37500002	0.05130088	-0.21111698	0.18446494	-0.023207548	-0.23583366	0.23441675	-0.86488053
9	-0.85811722	-0.10448357	-0.63605186	-0.0028012452	-0.097421702	0.20910668	-0.041777126	-0.3045993	1.0320286	0.11800994	-0.37499986	-0.37499984	-0.37499999	0.025147824	-0.18852211	0.18202191	-0.042357841	-0.20724593	0.23099383	-0.85811722
10	-0.85060088	-0.12048844	-0.5986274	0.076994689	-0.068403439	0.20802104	-0.13175863	-0.28167379	0.9950762	0.032564035	-0.37499982	-0.3749998	-0.37499995	-0.0018534872	-0.16472487	0.17905648	-0.062083841	-0.17728442	0.22694546	-0.85060088
11	-0.84234549	-0.13626453	-0.55901708	0.15220591	-0.038784788	0.20570889	-0.21355076	-0.25740004	0.95529459	-0.052669477	-0.37499978	-0.37499976	-0.37499991	-0.029090071	-0.14013753	0.17551303	-0.081921128	-0.14650556	0.22221908	-0.84234549
12	-0.8333664	-0.1513681	-0.51767574	0.22032355	-0.0091580692	0.20197556	-0.28408841	-0.23205967	0.91297556	-0.13559666	-0.37499973	-0.37499971	-0.37499986	-0.055946513	-0.1151805	0.17134072	-0.10140187	-0.1154731	0.21676683	-0.8333664
13	-0.82368024	-0.16536822	-0.47507023	0.27913959	0.019889568	0.19666239	-0.34084915	-0.2059442	0.86842669	-0.21420262	-0.37499968	-0.37499966	-0.37499981	-0.08181949	-0.090273812	0.16649581	-0.12006559	-0.08474596	0.21054783	-0.82368024
14	-0.81330493	-0.17785766	-0.4316725	0.32682654	0.047788817	0.18965497	-0.38195592	-0.17935119	0.82196847	-0.28660433	-0.37499963	-0.37499961	-0.37499976	-0.10613192	-0.065828694	0.16094388	-0.13746975	-0.054866291	0.20353031	-0.81330493
15	-0.80225961	-0.18846318	-0.38795262	0.3620015	0.074000406	0.18088987	-0.40624869	-0.15258024	0.77393135	-0.35109942	-0.37499957	-0.37499955	-0.3749997	-0.12834644	-0.042239448	0.15466182	-0.15319989	-0.026348076	0.19569365	-0.80225961
16	-0.7905646	-0.19685499	-0.34437197	0.3837718	0.098026552	0.17035949	-0.41332214	-0.12592899	0.72465258	-0.40620977	-0.37499951	-0.37499949	-0.37499964	-0.1479778	-0.019875723	0.14763957	-0.16687908	0.00033357015	0.18703012	-0.7905646
17	-0.77824139	-0.20275504	-0.3013767	0.39176093	0.1194214	0.15811484	-0.4035281	-0.099689261	0.67447317	-0.45071857	-0.37499945	-0.37499943	-0.37499958	-0.16460401	0.00092458709	0.13988151	-0.17817647	0.024752075	0.17754633	-0.77824139
