f	aligned	misaligned
1.0	0.9755630062487131	0.15201586235472941
2.0	0.9743939096745668	0.15184844816865178
3.0	0.9724474522927725	0.15156956621452478
4.0	0.9697266845154463	0.15117942839929283
5.0	0.966235868829021	0.150678331915836
6.0	0.9619804712181511	0.15006665925383786
7.0	0.9569671504310019	0.14934487847605277
8.0	0.9512037449210567	0.1485135435575172
9.0	0.9446992574795698	0.14757329477551834
10.0	0.9374638375944362	0.14652485914525873
11.0	0.929508761575995	0.14536905089863375
12.0	0.9208464104934659	0.1441067719996663
13.0	0.9114902459703415	0.14273901269008657
14.0	0.9014547838922078	0.14126685205812325
15.0	0.8907555660847579	0.1396914586228883
16.0	0.8794091300248118	0.13801409092685296
17.0	0.8674329766504009	0.13623609812735257
18.0	0.8548455363410493	0.1343589205786605
19.0	0.8416661331429083	0.13238409039531188
20.0	0.8279149473170537	0.13031323198691125
21.0	0.813612976293279	0.12814806255478475
22.0	0.7987819941146068	0.1258903925400845
23.0	0.7834445094613591	0.12354212601317248
24.0	0.7676237223463407	0.12110526099367762
25.0	0.7513434795755671	0.11858188969062763
26.0	0.7346282290715324	0.11597419865201723
27.0	0.7175029731582413	0.11328446881307808
28.0	0.6999932209094079	0.11051507543265789
29.0	0.6821249396629909	0.10766848790713823
30.0	0.6639245058069045	0.10474726945152862
31.0	0.6454186549420452	0.10175407663752853
32.0	0.626634431529926	0.09869165877863399
33.0	0.6075991381330363	0.09556285715264803
34.0	0.588340284356675	0.09237060405231938
35.0	0.568885535601351	0.08911792165523916
36.0	0.5492626617349359	0.08580792070456393
37.0	0.5294994857936134	0.08244379899264416
38.0	0.5096238328202612	0.07902883964018159
39.0	0.4896634789482424	0.07556640916411726
40.0	0.46964610083767455	0.07205995532808869
41.0	0.4495992255701206	0.0685130047699752
42.0	0.4295501811062101	0.0649291604017353
43.0	0.4095260474091124	0.061312098577505185
44.0	0.3895536083348927	0.057665566026698846
45.0	0.36965930438869404	0.053993376549649946
46.0	0.34986918644338527	0.05029940747418484
47.0	0.33020887051475567	0.04658759587236157
48.0	0.31070349368462596	0.04286193453750671
49.0	0.29137767126027214	0.03912646772257132
50.0	0.27225545525543093	0.0353852866417491
51.0	0.2533602942748285	0.03164252473822922
52.0	0.2347149948806521	0.027902352721891822
53.0	0.2163416845157306	0.02416897338169978
54.0	0.19826177605432702	0.02044661617848307
55.0	0.18049593404747946	0.01673953162476003
56.0	0.1630640427256888	0.013051985459175476
57.0	0.14598517581749218	0.009388252624068612
58.0	0.12927756823809208	0.005752611055601584
59.0	0.11295858969771846	0.002149335296783402
60.0	0.09704472027481818	-0.0014173100553947562
61.0	0.0815515279945093	-0.004943077056626777
62.0	0.06649364844797738	-0.008423741262851583
63.0	0.051884766483704034	-0.011855108704976951
64.0	0.03773759999655273	-0.015233022976271987
65.0	0.02406388583584303	-0.018553372417192147
66.0	0.010874367848633819	-0.021812097381697558
67.0	-0.001821212930509391	-0.02500519756847118
68.0	-0.01401412593692088	-0.028128739399828306
69.0	-0.02569665657899731	-0.03117886343053934
70.0	-0.03686210959061127	-0.03415179176827606
71.0	-0.047504810241138916	-0.037043835486921375
72.0	-0.05762010341629717	-0.03985140201357832
73.0	-0.06720435058775459	-0.04257100246975485
74.0	-0.07625492469419107	-0.04519925894691208
75.0	-0.08477020296109541	-0.047732911696321836
76.0	-0.09274955769114293	-0.050168826213015105
77.0	-0.100193345061417	-0.0525040001934868
78.0	-0.10710289196806959	-0.05473557034677861
79.0	-0.11348048096322289	-0.05686081903858424
80.0	-0.11932933333298526	-0.05887718074810451
81.0	-0.12465359036939228	-0.06078224831753301
82.0	-0.12945829289287059	-0.06257377897427416
83.0	-0.1337493590854505	-0.06424970010627792
84.0	-0.13753356069841977	-0.06580811477123151
85.0	-0.14081849770140625	-0.06724730692076651
86.0	-0.143612571442984	-0.06856574632132356
87.0	-0.14592495639582903	-0.06976209315386708
88.0	-0.1477655705621832	-0.07083520227525587
89.0	-0.14914504461792027	-0.07178412712475091
90.0	-0.15007468987584055	-0.07260812325987799
91.0	-0.15056646515094624	-0.07330665150665959
92.0	-0.1506329426123607	-0.07387938071008288
93.0	-0.15028727270825318	-0.07432619007157946
94.0	-0.14954314825160747	-0.07464717106125393
95.0	-0.14841476775593374	-0.07484262889360926
96.0	-0.1469167981110547	-0.07491308355657789
97.0	-0.1450643366899107	-0.07485927038476842
98.0	-0.14287287297791468	-0.07468214016898704
99.0	-0.14035824981674982	-0.07438285879527397
100.0	-0.13753662435464106	-0.07396280640791582
101.0	-0.13442442879504618	-0.07342357609214561
102.0	-0.13103833103540527	-0.07276697207351984
103.0	-0.12739519528706192	-0.07199500743226633
104.0	-0.12351204276672637	-0.07110990133221862
105.0	-0.11940601254889302	-0.07011407576529312
106.0	-0.11509432266746074	-0.06901015181381673
107.0	-0.11059423155342965	-0.06780094543437254
108.0	-0.10592299989397927	-0.06648946276819703
109.0	-0.10109785299645999	-0.06507889498452378
