f	gamma
1.0	0.15214219348522018
2.0	0.152100433321116
3.0	0.15203085053850937
4.0	0.15193345323442026
5.0	0.15180825997679573
6.0	0.1516552945206694
7.0	0.15147458599607147
8.0	0.1512661688537654
9.0	0.15103008284272038
10.0	0.1507663730510259
11.0	0.150475089880109
12.0	0.15015628908186998
13.0	0.14981003175226526
14.0	0.14943638434865883
15.0	0.14903541869635223
16.0	0.1486072120040437
17.0	0.14815184687535654
18.0	0.14766941132147612
19.0	0.14715999877583388
20.0	0.14662370810839132
21.0	0.14606064364037485
22.0	0.14547091516026037
23.0	0.14485463793928316
24.0	0.1442119327480991
25.0	0.14354292587326326
26.0	0.1428477491342647
27.0	0.14212653990067317
28.0	0.14137944110945233
29.0	0.1406066012824146
30.0	0.13980817454372904
31.0	0.13898432063722815
32.0	0.1381352049438452
33.0	0.13726099849879125
34.0	0.13636187800847044
35.0	0.13543802586709158
36.0	0.13448963017297644
37.0	0.13351688474435208
38.0	0.13251998913464028
39.0	0.1314991486471385
40.0	0.1304545743490367
41.0	0.12938648308466003
42.0	0.12829509748790877
43.0	0.1271806459937592
44.0	0.1260433628487913
45.0	0.12488348812062983
46.0	0.12370126770624984
47.0	0.12249695333904222
48.0	0.1212708025945641
49.0	0.12002307889489795
50.0	0.11875405151153763
51.0	0.1174639955667144
52.0	0.11615319203308044
53.0	0.11482192773168698
54.0	0.11347049532815698
55.0	0.11209919332697431
56.0	0.1107083260638254
57.0	0.1092982036958983
58.0	0.107869142190071
59.0	0.10642146330890402
60.0	0.10495549459437649
61.0	0.10347156934926464
62.0	0.10197002661612055
63.0	0.10045121115374914
64.0	0.09891547341113727
65.0	0.09736316949874156
66.0	0.09579466115708846
67.0	0.09421031572260367
68.0	0.09261050609061498
69.0	0.09099561067545996
70.0	0.08936601336764247
71.0	0.08772210348797436
72.0	0.08606427573864531
73.0	0.0843929301511704
74.0	0.08270847203115508
75.0	0.08101131189983506
76.0	0.07930186543233549
77.0	0.07758055339260786
78.0	0.07584780156500268
79.0	0.07410404068243218
80.0	0.07234970635109136
81.0	0.07058523897169582
82.0	0.06881108365721263
83.0	0.06702769014704169
84.0	0.0652355127176377
85.0	0.06343501008953474
86.0	0.06162664533076043
87.0	0.059810885756622446
88.0	0.0579882028258497
89.0	0.05615907203307918
90.0	0.05432397279768386
91.0	0.052483388348930175
92.0	0.05063780560747208
93.0	0.04878771506317778
94.0	0.046933610649298595
95.0	0.04507598961298934
96.0	0.043215352382189265
97.0	0.04135220242888379
98.0	0.039487046128767266
99.0	0.03762039261732424
100.0	0.0357527536423647
101.0	0.0338846434130359
102.0	0.03201657844534947
103.0	0.030149077404261627
104.0	0.02828266094234435
105.0	0.026417851535095585
106.0	0.02455517331293646
107.0	0.022695151889944372
108.0	0.02083831418938399
109.0	0.018985188266088752
110.0	0.017136303125758506
111.0	0.015292188541241218
112.0	0.013453374865864452
113.0	0.011620392843894304
114.0	0.009793773418193815
115.0	0.007974047535166166
116.0	0.006161745947061131
117.0	0.004357399011734514
118.0	0.0025615364899505833
119.0	0.0007746873403190399
120.0	-0.0010026204880349589
121.0	-0.0027698602649691637
122.0	-0.004526506690888693
123.0	-0.00627203611026894
124.0	-0.008005926727030264
125.0	-0.009727658821652246
126.0	-0.01143671496991221
127.0	-0.013132580263131338
128.0	-0.014814742529809164
129.0	-0.01648269255852367
130.0	-0.018135924321970295
131.0	-0.01977393520201526
132.0	-0.021396226215631198
133.0	-0.023002302241584168
134.0	-0.024591672247736406
135.0	-0.026163849518830863
136.0	-0.027718351884616833
137.0	-0.02925470194817726
138.0	-0.030772427314316318
139.0	-0.03227106081786279
140.0	-0.03375014075174385
141.0	-0.03520921109468353
142.0	-0.03664782173837597
143.0	-0.0380655287139858
144.0	-0.03946189441782414
145.0	-0.04083648783604768
146.0	-0.042188884768231585
147.0	-0.04351866804965781
148.0	-0.04482542777216978
149.0	-0.04610876150343589
150.0	-0.04736827450446684
151.0	-0.04860357994523315
152.0	-0.049814299118225124
153.0	-0.051000061649801344
154.0	-0.05216050570916894
155.0	-0.053295278214840466
156.0	-0.05440403503841201
157.0	-0.05548644120550846
158.0	-0.05654217109374056
159.0	-0.05757090862752125
160.0	-0.058572347469587636
161.0	-0.05954619120907739
162.0	-0.06049215354600863
163.0	-0.061409958472012964
164.0	-0.06229934044717443
165.0	-0.06316004457282705
166.0	-0.0639918267601649
167.0	-0.06479445389452235
168.0	-0.06556770399518153
169.0	-0.06631136637056761
170.0	-0.06702524176869386
171.0	-0.06770914252272103
172.0	-0.06836289269149727
173.0	-0.06898632819494732
174.0	-0.06957929694418402
175.0	-0.07014165896621433
176.0	-0.07067328652311809
177.0	-0.07117406422557888
178.0	-0.07164388914065015
179.0	-0.0720826708936422
180.0	-0.07249033176401927
181.0	-0.07286680677519927
182.0	-0.07321204377815199
183.0	-0.07352600352869519
184.0	-0.07380865975839158
185.0	-0.07405999923895346
186.0	-0.07428002184006594
187.0	-0.07446874058054233
188.0	-0.07462618167273123
189.0	-0.07475238456009752
190.0	-0.07484740194790343
191.0	-0.07491129982692185
192.0	-0.07494415749011607
193.0	-0.07494606754222669
194.0	-0.07491713590220918
195.0	-0.07485748179847126
196.0	-0.07476723775686378
197.0	-0.0746465495813824
198.0	-0.07449557632754397
199.0	-0.07431449026840424
200.0	-0.07410347685319027
201.0	-0.07386273465852419
202.0	-0.07359247533222149
203.0	-0.07329292352965018
204.0	-0.07296431684264434
205.0	-0.07260690572096824
206.0	-0.07222095338633505
207.0	-0.07180673573898602
208.0	-0.07136454125684476
209.0	-0.07089467088726313
210.0	-0.0703974379313827
211.0	-0.06987316792113984
212.0	-0.06932219848894818
213.0	-0.06874487923009644
214.0	-0.06814157155790723
215.0	-0.06751264855170361
216.0	-0.06685849479764006
217.0	-0.06617950622245578
218.0	-0.06547608992021571
219.0	-0.06474866397210896
220.0	-0.06399765725937932
221.0	-0.06322350926946843
222.0	-0.06242666989545592
223.0	-0.06160759922888756
224.0	-0.06076676734608535
225.0	-0.05990465408804059
226.0	-0.05902174883399432
227.0	-0.058118550268814656
228.0	-0.057195566144286336
229.0	-0.05625331303443039
230.0	-0.05529231608497917
231.0	-0.05431310875713448
232.0	-0.053316232565741306
233.0	-0.052302236812016
234.0	-0.05127167831096891
235.0	-0.05022512111366901
236.0	-0.049163136224499686
237.0	-0.04808630131356058
238.0	-0.04699520042437366
239.0	-0.045890423677055835
240.0	-0.04477256696712383
241.0	-0.04364223166010162
242.0	-0.04250002428210343
243.0	-0.041346556206568914
244.0	-0.040182443337331696
245.0	-0.039008305788203586
246.0	-0.037824767559261646
247.0	-0.036632456210028363
248.0	-0.035432002529735857
249.0	-0.034224040204871777
250.0	-0.03300920548420246
251.0	-0.03178813684147568
252.0	-0.030561474636005004
253.0	-0.029329860771340373
254.0	-0.02809393835223424
255.0	-0.026854351340109602
256.0	-0.025611744207242736
257.0	-0.02436676158987338
258.0	-0.023120047940455433
259.0	-0.021872247179265017
260.0	-0.020624002345581698
261.0	-0.019375955248661682
262.0	-0.018128746118721225
263.0	-0.016883013258150063
264.0	-0.015639392693175366
265.0	-0.01439851782619634
266.0	-0.013161019089011631
267.0	-0.011927523597159557
268.0	-0.01069865480559259
269.0	-0.009475032165908368
270.0	-0.008257270785356076
271.0	-0.00704598108784015
272.0	-0.005841768477139605
273.0	-0.004645233002563381
274.0	-0.003456969027257192
275.0	-0.002277564899381972
276.0	-0.0011076026263762374
277.0	5.234244748161809e-05
278.0	0.0012017019599984621
279.0	0.0023399148462700334
280.0	0.003466427649951705
281.0	0.00458069483039128
282.0	0.005682179065418463
283.0	0.00677035154958869
284.0	0.00784469228768147
285.0	0.008904690383256666
286.0	0.009949844322073076
287.0	0.010979662250179406
288.0	0.01199366224648761
289.0	0.012991372589645575
290.0	0.013972332019024921
291.0	0.014936089989647901
292.0	0.01588220692087724
293.0	0.01681025443869888
294.0	0.017719815611430743
295.0	0.018610485178693823
296.0	0.019481869773488023
297.0	0.02033358813721724
298.0	0.021165271327514622
299.0	0.02197656291872169
300.0	0.022767119194880604
301.0	0.023536609335104333
302.0	0.024284715591192073
303.0	0.02501113345736451
304.0	0.025715571831997724
305.0	0.02639775317123908
306.0	0.027057413634394928
307.0	0.02769430322098397
308.0	0.028308185899357102
309.0	0.028898839726788368
310.0	0.02946605696094842
311.0	0.03000964416267757
312.0	0.030529422289980478
313.0	0.031025226783170552
314.0	0.03149690764109929
315.0	0.031944329488409175
316.0	0.032367371633757504
317.0	0.032765928118962596
318.0	0.03313990775903065
319.0	0.033489234173027564
320.0	0.033813845805766726
321.0	0.03411369594028843
322.0	0.03438875270111494
323.0	0.03463899904826954
324.0	0.03486443276205524
325.0	0.035065066418595206
326.0	0.03524092735614228
327.0	0.03539205763217221
328.0	0.035518513971281196
329.0	0.03562036770391474
330.0	0.035697704695960376
331.0	0.03575062526924471
332.0	0.03577924411297936
333.0	0.03578369018620871
334.0	0.035764106611316876
335.0	0.035720650558658605
336.0	0.035653493122384576
337.0	0.03556281918753733
338.0	0.035448827288500726
339.0	0.03531172945889159
340.0	0.03515175107298777
341.0	0.034969130678793474
342.0	0.034764119822847765
343.0	0.034536982866888874
344.0	0.03428799679649137
345.0	0.034017451021799934
346.0	0.03372564717048879
347.0	0.0334128988730807
348.0	0.033079531540765796
349.0	0.0327258821358646
350.0	0.032352298935086246
351.0	0.03195914128573592
352.0	0.031546779355033465
353.0	0.031115593872706147
354.0	0.030665975867027663
355.0	0.030198326394475707
356.0	0.029713056263188868
357.0	0.02921058575040512
358.0	0.028691344314070038
359.0	0.02815577029880672
360.0	0.027604310636442288
361.0	0.027037420541292594
362.0	0.026455563200405836
363.0	0.025859209458974984
364.0	0.02524883750112744
365.0	0.024624932526306355
366.0	0.023987986421461313
367.0	0.023338497429266938
