f	psd[1/Hz]
10.0	2.223504464164e-42
10.023060000000001	2.1831259291402505e-42
10.046173	2.1434807607816102e-42
10.069339999999999	2.10455573225569e-42
10.09256	2.0663378255664402e-42
10.115833	2.0288142288602494e-42
10.139161	1.9919720514817596e-42
10.162542	1.955799453001e-42
10.185976	1.9202836620489996e-42
10.209465	1.8854129470915598e-42
10.233008	1.8511757594726395e-42
10.256606	1.81756046146249e-42
10.280258	1.78455560343076e-42
10.303964	1.75215018608161e-42
10.327725	1.7203336459020102e-42
10.351541000000001	1.6890945413128895e-42
10.375411999999999	1.65842317368484e-42
10.399337	1.6283087067039997e-42
10.423318	1.59874099321689e-42
10.447355	1.56971054958481e-42
10.471446	1.54120728924369e-42
10.495594	1.5132217851086395e-42
10.519796000000001	1.4857447572676904e-42
10.544055	1.4587668295536397e-42
10.56837	1.4322790174179604e-42
10.592741	1.4062724778049597e-42
10.617168	1.3807385073328898e-42
10.641651	1.35566854049124e-42
10.666191	1.33105414785424e-42
10.690787	1.3068868056722498e-42
10.71544	1.283158810756e-42
10.74015	1.25986167614736e-42
10.764917	1.23698772780025e-42
10.789741000000001	1.21452941083761e-42
10.814622	1.1924790696476103e-42
10.83956	1.1708291727619602e-42
10.864557000000001	1.1495725256334404e-42
10.889610000000001	1.1287020467352101e-42
10.914722	1.1082103450264899e-42
10.939891000000001	1.088090989456e-42
10.965119	1.0683370220952103e-42
10.990404	1.04894180469796e-42
11.015748	1.0298986018566401e-42
11.041151	1.01120139334201e-42
11.066612	9.928436095005442e-43
11.092131	9.748192848645967e-43
11.11771	9.571223492716898e-43
11.143347	9.397468877134849e-43
11.169044	9.226870787786401e-43
11.1948	9.059372124778756e-43
11.220614999999999	8.894917070385423e-43
11.24649	8.733450686302489e-43
11.272425	8.574919643143044e-43
11.298419	8.419271441401746e-43
11.324473	8.266454037281763e-43
11.350586999999999	8.1164171101456e-43
11.376762	7.969110761055377e-43
11.402997000000001	7.824486050015623e-43
11.429292	7.6824944520256e-43
11.455648	7.543087689604404e-43
11.482064999999999	7.406217746578225e-43
11.508543	7.271837734055037e-43
11.535082000000001	7.139901695247722e-43
11.561682000000001	7.010364085158889e-43
11.588343	6.8831809373438435e-43
11.615066	6.758308336162762e-43
11.64185	6.63570406654856e-43
11.668696	6.5153269138806245e-43
11.695605	6.397136320409999e-43
11.722575	6.281092852195715e-43
11.749607000000001	6.167157383625e-43
11.776702	6.055291726220025e-43
11.803859	5.94545814359921e-43
11.831078999999999	5.837619656236489e-43
11.858361	5.731739875145024e-43
11.885707	5.627782694065402e-43
11.913115	5.525712890149321e-43
11.940586999999999	5.425495955257156e-43
11.968122	5.327097789780899e-43
